ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,0.56,0.56,5.84,0.0,5.28,5.28
Veh_3,4.38,5.84,9.64,1.46,3.8,5.26
Veh_2,4.18,4.18,10.5,0.0,6.33,6.33
Veh_5,4.65,10.5,14.25,5.85,3.74,9.59
Veh_4,4.58,9.64,15.01,5.06,5.37,10.43
Veh_7,7.31,15.01,18.79,7.7,3.78,11.48
Veh_6,7.07,14.25,20.96,7.18,6.72,13.9
Veh_8,7.75,18.79,25.93,11.05,7.14,18.18
Veh_9,8.64,20.96,26.45,12.33,5.49,17.81
Veh_10,9.32,25.93,30.46,16.61,4.53,21.15
Veh_11,9.73,26.45,33.34,16.72,6.89,23.61
Veh_12,9.91,30.46,36.67,20.55,6.21,26.76
Veh_13,10.33,33.34,38.25,23.01,4.91,27.92
Veh_14,10.87,36.67,39.05,25.8,2.38,28.18
Veh_15,11.74,38.25,43.45,26.51,5.2,31.71
Veh_16,12.82,39.05,46.12,26.24,7.07,33.3
Veh_17,12.87,43.45,47.37,30.58,3.92,34.5
Veh_18,14.0,46.12,50.4,32.12,4.28,36.4
Veh_19,14.08,47.37,51.79,33.3,4.41,37.71
Veh_21,17.77,51.79,54.64,34.02,2.86,36.88
Veh_20,17.64,50.4,57.6,32.75,7.2,39.96
Veh_22,19.15,54.64,60.13,35.49,5.49,40.98
Veh_23,19.31,57.6,63.87,38.29,6.27,44.57
Veh_24,20.13,60.13,64.01,40.0,3.88,43.88
Veh_26,23.46,64.01,68.72,40.55,4.71,45.26
Veh_25,23.01,63.87,71.52,40.87,7.65,48.51
Veh_27,24.34,68.72,74.72,44.38,6.01,50.39
Veh_28,25.29,71.52,75.74,46.23,4.22,50.45
Veh_29,29.48,74.72,79.59,45.25,4.87,50.11
Veh_30,29.74,75.74,83.42,46.0,7.68,53.68
Veh_31,29.8,79.59,84.31,49.8,4.71,54.51
Veh_32,30.27,83.42,88.23,53.16,4.81,57.97
Veh_33,30.86,84.31,88.76,53.45,4.46,57.91
Veh_35,33.36,88.76,92.33,55.41,3.57,58.98
Veh_34,31.24,88.23,92.83,56.99,4.6,61.59
Veh_37,35.48,92.83,96.27,57.35,3.44,60.79
Veh_36,33.54,92.33,99.26,58.8,6.93,65.72
Veh_38,40.68,96.27,102.37,55.59,6.09,61.68
Veh_39,42.45,99.26,104.41,56.81,5.14,61.95
Veh_40,42.55,102.37,105.77,59.82,3.4,63.22
Veh_41,43.08,104.41,109.88,61.33,5.48,66.8
Veh_42,43.23,105.77,110.29,62.54,4.52,67.06
Veh_43,45.61,109.88,112.65,64.27,2.77,67.04
Veh_44,46.09,110.29,116.22,64.21,5.93,70.14
Veh_45,47.65,112.65,118.95,65.0,6.3,71.3
Veh_46,47.81,116.22,122.64,68.41,6.42,74.83
Veh_47,49.31,118.95,125.69,69.65,6.74,76.39
Veh_48,51.02,122.64,129.2,71.61,6.57,78.18
Veh_49,52.79,125.69,131.18,72.9,5.49,78.39
Veh_50,52.82,129.2,137.48,76.38,8.28,84.66
Veh_51,52.96,131.18,138.63,78.22,7.45,85.67
Veh_52,53.0,137.48,142.63,84.48,5.15,89.63
Veh_53,54.21,138.63,142.98,84.42,4.35,88.77
Veh_55,57.92,142.98,147.97,85.06,4.98,90.04
Veh_54,55.06,142.63,148.02,87.56,5.39,92.95
Veh_56,58.23,147.97,152.15,89.73,4.18,93.91
Veh_57,58.33,148.02,153.27,89.69,5.26,94.94
Veh_58,58.74,152.15,158.76,93.41,6.62,100.02
Veh_59,58.95,153.27,159.7,94.32,6.43,100.75
Veh_60,62.14,158.76,163.94,96.63,5.17,101.8
Veh_61,63.34,159.7,164.82,96.36,5.12,101.48
Veh_63,66.26,164.82,169.44,98.56,4.62,103.17
Veh_64,66.4,169.44,172.13,103.03,2.7,105.73
Veh_62,65.8,163.94,174.56,98.13,10.62,108.76
Veh_65,66.71,172.13,177.29,105.42,5.16,110.58
Veh_66,67.38,174.56,177.53,107.18,2.97,110.15
Veh_67,69.43,177.29,179.36,107.87,2.07,109.94
Veh_68,70.07,177.53,183.76,107.46,6.22,113.68
Veh_69,70.23,179.36,184.44,109.14,5.07,114.21
Veh_71,74.16,184.44,187.42,110.28,2.99,113.27
Veh_70,70.72,183.76,190.25,113.04,6.49,119.53
Veh_73,79.32,190.25,193.88,110.94,3.62,114.56
Veh_72,75.04,187.42,194.53,112.39,7.1,119.49
Veh_75,80.19,194.53,197.91,114.34,3.39,117.73
Veh_74,80.14,193.88,198.34,113.73,4.46,118.2
Veh_77,82.15,198.34,202.31,116.19,3.97,120.16
Veh_76,81.32,197.91,203.84,116.6,5.93,122.53
Veh_78,82.55,202.31,206.97,119.77,4.66,124.42
Veh_79,85.41,203.84,208.43,118.43,4.58,123.01
Veh_80,90.51,206.97,212.51,116.46,5.54,122.0
Veh_82,93.27,212.51,214.66,119.24,2.16,121.39
Veh_81,92.07,208.43,216.99,116.36,8.56,124.92
Veh_84,95.9,216.99,220.74,121.09,3.75,124.84
Veh_83,95.43,214.66,221.0,119.23,6.34,125.57
Veh_86,96.2,221.0,225.87,124.81,4.87,129.67
Veh_85,96.15,220.74,227.82,124.59,7.08,131.67
Veh_87,97.27,225.87,230.34,128.6,4.47,133.08
Veh_88,97.29,227.82,233.96,130.53,6.14,136.67
Veh_89,98.15,230.34,236.71,132.2,6.36,138.56
Veh_90,99.39,233.96,239.43,134.57,5.47,140.04
Veh_91,99.98,236.71,242.08,136.73,5.37,142.1
Veh_92,103.29,239.43,245.07,136.14,5.64,141.78
Veh_93,103.79,242.08,246.97,138.29,4.89,143.18
Veh_94,103.94,245.07,249.41,141.13,4.34,145.48
Veh_95,107.04,246.97,251.76,139.93,4.79,144.72
Veh_96,108.01,249.41,252.46,141.4,3.04,144.44
Veh_97,108.92,251.76,256.92,142.84,5.16,148.01
Veh_98,109.03,252.46,258.45,143.42,5.99,149.41
Veh_99,111.76,256.92,260.44,145.16,3.51,148.67
Veh_100,112.28,258.45,263.24,146.17,4.79,150.96
Veh_102,115.07,263.24,267.17,148.17,3.93,152.1
Veh_101,113.83,260.44,267.82,146.6,7.39,153.99
Veh_104,115.38,267.82,272.13,152.44,4.31,156.75
Veh_103,115.17,267.17,274.2,151.99,7.03,159.02
Veh_105,118.13,272.13,278.0,154.0,5.87,159.87
Veh_106,118.26,274.2,279.18,155.94,4.98,160.92
Veh_107,119.56,278.0,282.58,158.43,4.58,163.02
Veh_108,120.83,279.18,284.86,158.35,5.68,164.03
Veh_109,121.14,282.58,290.32,161.45,7.74,169.19
Veh_110,122.63,284.86,292.01,162.23,7.15,169.38
Veh_112,124.75,292.01,295.54,167.26,3.53,170.79
Veh_111,123.1,290.32,298.95,167.22,8.63,175.85
Veh_113,126.01,295.54,301.95,169.53,6.41,175.94
Veh_114,126.13,298.95,305.7,172.83,6.75,179.58
Veh_115,126.68,301.95,308.84,175.27,6.89,182.16
Veh_117,127.38,308.84,311.28,181.46,2.44,183.9
Veh_116,127.05,305.7,311.97,178.66,6.27,184.93
Veh_119,132.55,311.97,315.03,179.42,3.06,182.48
Veh_118,131.72,311.28,317.41,179.57,6.12,185.69
Veh_120,133.59,315.03,318.45,181.45,3.42,184.86
Veh_121,134.4,317.41,321.91,183.01,4.51,187.51
Veh_122,134.66,318.45,323.01,183.79,4.56,188.35
Veh_123,136.2,321.91,326.04,185.71,4.12,189.84
Veh_124,136.23,323.01,327.09,186.78,4.08,190.86
Veh_125,137.47,326.04,328.7,188.57,2.66,191.22
Veh_126,140.86,327.09,333.12,186.23,6.03,192.26
Veh_127,144.94,328.7,334.61,183.76,5.92,189.67
Veh_128,147.23,333.12,337.7,185.9,4.58,190.48
Veh_129,147.45,334.61,339.46,187.16,4.84,192.01
Veh_130,148.42,337.7,343.03,189.28,5.32,194.6
Veh_132,149.69,343.03,345.87,193.33,2.84,196.18
Veh_131,148.55,339.46,345.91,190.91,6.45,197.36
Veh_134,156.66,345.91,349.91,189.25,4.0,193.25
Veh_133,155.23,345.87,351.53,190.64,5.66,196.31
Veh_135,158.11,349.91,353.09,191.8,3.18,194.98
Veh_136,158.65,351.53,356.62,192.88,5.09,197.97
Veh_137,160.64,353.09,358.55,192.45,5.46,197.92
Veh_138,162.56,356.62,360.55,194.06,3.93,197.99
Veh_139,163.82,358.55,362.21,194.74,3.66,198.4
Veh_140,165.27,360.55,365.3,195.28,4.76,200.03
Veh_141,165.39,362.21,366.08,196.83,3.86,200.69
Veh_142,166.42,365.3,369.11,198.88,3.81,202.69
Veh_143,166.47,366.08,372.77,199.61,6.69,206.3
Veh_144,167.22,369.11,373.99,201.89,4.87,206.76
Veh_145,168.16,372.77,380.79,204.61,8.02,212.64
Veh_146,169.23,373.99,381.04,204.75,7.06,211.81
Veh_147,169.27,380.79,383.0,211.53,2.2,213.73
Veh_148,169.31,381.04,388.17,211.73,7.13,218.86
Veh_149,171.39,383.0,388.56,211.61,5.57,217.17
Veh_150,171.93,388.17,393.89,216.25,5.71,221.96
Veh_151,172.09,388.56,394.62,216.48,6.06,222.53
Veh_152,172.97,393.89,397.39,220.91,3.5,224.41
Veh_153,173.08,394.62,398.43,221.54,3.81,225.35
Veh_155,174.93,398.43,404.05,223.51,5.62,229.12
Veh_154,173.99,397.39,404.3,223.4,6.91,230.3
Veh_157,177.7,404.3,408.72,226.6,4.42,231.02
Veh_156,176.14,404.05,409.14,227.91,5.09,232.99
Veh_158,178.08,408.72,411.76,230.64,3.05,233.69
Veh_160,178.87,411.76,414.91,232.9,3.14,236.04
Veh_159,178.77,409.14,416.14,230.37,7.0,237.37
Veh_161,178.9,414.91,419.61,236.01,4.7,240.71
Veh_162,182.84,416.14,422.25,233.3,6.11,239.4
Veh_163,183.05,419.61,423.97,236.56,4.36,240.92
Veh_164,184.0,422.25,426.88,238.24,4.64,242.88
Veh_165,185.51,423.97,427.32,238.46,3.35,241.81
Veh_167,190.2,427.32,432.51,237.12,5.19,242.31
Veh_166,189.23,426.88,433.32,237.66,6.43,244.09
Veh_168,191.33,432.51,434.33,241.18,1.82,243.0
Veh_169,193.03,433.32,440.39,240.28,7.07,247.35
Veh_170,193.18,434.33,440.44,241.15,6.11,247.26
Veh_171,193.24,440.39,447.15,247.15,6.76,253.91
Veh_172,193.29,440.44,447.67,247.16,7.22,254.38
Veh_173,195.61,447.15,451.73,251.54,4.59,256.12
Veh_174,196.42,447.67,453.1,251.25,5.43,256.68
Veh_175,197.19,451.73,455.91,254.54,4.18,258.72
Veh_176,197.87,453.1,456.42,255.22,3.33,258.55
Veh_177,198.48,455.91,462.07,257.43,6.16,263.59
Veh_178,199.05,456.42,462.13,257.38,5.71,263.09
Veh_179,200.23,462.07,466.79,261.85,4.72,266.56
Veh_180,201.06,462.13,469.8,261.07,7.67,268.74
Veh_181,203.39,466.79,471.86,263.39,5.08,268.47
Veh_182,203.48,469.8,474.57,266.32,4.77,271.09
Veh_183,204.72,471.86,477.76,267.15,5.89,273.04
Veh_184,208.1,474.57,481.51,266.48,6.94,273.41
Veh_186,212.09,481.51,486.64,269.42,5.13,274.55
Veh_185,208.69,477.76,486.8,269.07,9.05,278.12
Veh_187,215.99,486.64,489.34,270.65,2.7,273.34
Veh_188,216.45,486.8,492.49,270.35,5.69,276.04
Veh_189,218.69,489.34,495.13,270.65,5.8,276.44
Veh_190,218.72,492.49,496.28,273.77,3.79,277.56
Veh_192,220.89,496.28,502.35,275.39,6.07,281.46
Veh_191,220.74,495.13,502.72,274.39,7.59,281.98
Veh_194,224.43,502.72,505.53,278.29,2.81,281.09
Veh_193,222.48,502.35,508.51,279.86,6.17,286.03
Veh_195,224.83,505.53,509.85,280.7,4.32,285.02
Veh_196,225.07,508.51,515.15,283.45,6.63,290.08
Veh_197,226.73,509.85,515.22,283.12,5.37,288.48
Veh_198,228.53,515.15,519.79,286.62,4.65,291.26
Veh_199,229.03,515.22,520.78,286.18,5.57,291.75
Veh_201,233.92,520.78,527.17,286.86,6.39,293.25
Veh_200,232.24,519.79,527.18,287.56,7.39,294.95
Veh_202,236.71,527.17,530.17,290.46,3.0,293.46
Veh_203,239.43,527.18,532.59,287.76,5.41,293.16
Veh_204,239.44,530.17,532.98,290.73,2.8,293.54
Veh_206,245.88,532.98,537.66,287.1,4.68,291.78
Veh_205,242.27,532.59,538.73,290.32,6.14,296.46
Veh_207,247.08,537.66,542.11,290.58,4.45,295.03
Veh_208,248.42,538.73,543.35,290.31,4.62,294.93
Veh_209,250.09,542.11,546.16,292.02,4.04,296.06
Veh_210,251.96,543.35,548.51,291.39,5.16,296.55
Veh_211,252.92,546.16,554.1,293.24,7.94,301.18
Veh_212,255.54,548.51,556.4,292.97,7.88,300.85
Veh_213,255.69,554.1,557.87,298.41,3.77,302.17
Veh_214,255.88,556.4,560.71,300.52,4.31,304.83
Veh_215,257.6,557.87,564.46,300.27,6.59,306.86
Veh_216,259.05,560.71,565.43,301.66,4.72,306.38
Veh_217,259.14,564.46,568.92,305.32,4.46,309.78
Veh_218,261.21,565.43,573.55,304.22,8.12,312.35
Veh_219,264.74,568.92,574.16,304.18,5.25,309.42
Veh_220,266.42,573.55,576.17,307.14,2.62,309.75
Veh_221,266.52,574.16,578.88,307.64,4.71,312.35
Veh_222,268.32,576.17,579.07,307.85,2.9,310.74
Veh_224,269.28,579.07,584.84,309.79,5.77,315.56
Veh_223,268.47,578.88,586.42,310.41,7.54,317.95
Veh_225,269.29,584.84,590.32,315.55,5.48,321.03
Veh_226,270.05,586.42,591.08,316.37,4.66,321.03
Veh_227,270.12,590.32,596.28,320.2,5.95,326.16
Veh_228,270.27,591.08,597.9,320.81,6.82,327.62
Veh_229,270.42,596.28,601.76,325.85,5.48,331.33
Veh_230,271.68,597.9,602.03,326.22,4.13,330.35
Veh_231,273.32,601.76,606.97,328.43,5.22,333.65
Veh_232,275.76,602.03,607.78,326.27,5.75,332.02
Veh_233,276.06,606.97,613.07,330.91,6.1,337.01
Veh_234,280.03,607.78,613.56,327.75,5.78,333.53
Veh_235,280.12,613.07,616.95,332.95,3.88,336.83
Veh_236,281.09,613.56,621.25,332.47,7.69,340.16
Veh_237,285.27,616.95,622.42,331.68,5.47,337.15
Veh_239,287.51,622.42,624.6,334.91,2.18,337.09
Veh_238,286.45,621.25,627.49,334.79,6.24,341.04
Veh_240,290.28,624.6,627.65,334.31,3.05,337.36
Veh_242,290.93,627.65,631.16,336.72,3.51,340.23
Veh_241,290.68,627.49,631.79,336.81,4.3,341.11
Veh_243,291.68,631.16,634.31,339.48,3.15,342.63
Veh_244,292.2,631.79,638.25,339.59,6.46,346.05
Veh_245,293.25,634.31,640.21,341.06,5.9,346.96
Veh_246,293.35,638.25,644.7,344.9,6.45,351.35
Veh_247,297.75,640.21,645.76,342.46,5.55,348.02
Veh_248,299.76,644.7,649.29,344.93,4.59,349.53
Veh_250,304.05,649.29,651.97,345.24,2.68,347.92
Veh_249,301.15,645.76,652.01,344.61,6.24,350.86
Veh_252,307.94,652.01,656.91,344.07,4.9,348.97
Veh_251,304.7,651.97,658.31,347.27,6.34,353.61
Veh_253,307.97,656.91,660.4,348.94,3.49,352.43
Veh_254,308.54,658.31,664.3,349.77,5.99,355.76
Veh_255,310.54,660.4,667.93,349.86,7.53,357.4
Veh_256,314.74,664.3,668.17,349.56,3.86,353.43
Veh_258,317.21,668.17,673.17,350.96,5.01,355.96
Veh_257,314.81,667.93,673.55,353.12,5.62,358.74
Veh_260,322.7,673.55,678.83,350.85,5.28,356.13
Veh_259,319.22,673.17,679.33,353.95,6.16,360.11
Veh_262,326.56,679.33,683.36,352.77,4.03,356.8
Veh_261,322.86,678.83,683.77,355.97,4.94,360.91
Veh_264,328.04,683.77,686.65,355.73,2.88,358.61
Veh_263,326.7,683.36,690.26,356.66,6.9,363.56
Veh_265,328.92,686.65,691.47,357.73,4.82,362.55
Veh_266,329.88,690.26,694.28,360.38,4.02,364.4
Veh_267,330.87,691.47,696.18,360.6,4.71,365.31
Veh_268,333.38,694.28,699.27,360.9,4.99,365.89
Veh_269,333.56,696.18,701.12,362.63,4.94,367.57
Veh_270,333.59,699.27,703.14,365.68,3.87,369.55
Veh_271,335.28,701.12,703.89,365.84,2.76,368.6
Veh_272,335.46,703.14,705.0,367.68,1.86,369.55
Veh_273,335.47,703.89,708.12,368.41,4.23,372.64
Veh_274,335.99,705.0,709.63,369.01,4.62,373.63
Veh_275,337.06,708.12,713.83,371.06,5.71,376.77
Veh_276,337.66,709.63,714.55,371.97,4.92,376.89
Veh_278,339.22,714.55,718.64,375.33,4.09,379.42
