ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,1.21,1.21,4.17,0.0,2.96,2.96
Veh_2,1.56,1.56,7.12,0.0,5.56,5.56
Veh_3,3.76,4.17,7.46,0.41,3.29,3.71
Veh_5,7.08,7.46,10.25,0.39,2.79,3.17
Veh_4,5.72,7.12,10.59,1.4,3.47,4.87
Veh_6,8.86,10.25,15.41,1.39,5.16,6.56
Veh_7,10.0,10.59,17.21,0.59,6.62,7.2
Veh_8,10.28,15.41,20.88,5.14,5.47,10.6
Veh_9,11.22,17.21,21.36,5.99,4.15,10.14
Veh_10,11.48,20.88,25.36,9.4,4.48,13.88
Veh_11,18.58,21.36,25.44,2.78,4.08,6.86
Veh_13,19.54,25.44,28.49,5.9,3.05,8.95
Veh_12,19.42,25.36,31.72,5.95,6.36,12.31
Veh_14,20.98,28.49,32.61,7.52,4.12,11.64
Veh_15,22.69,31.72,37.02,9.03,5.3,14.33
Veh_16,23.06,32.61,38.32,9.56,5.7,15.26
Veh_18,26.06,38.32,40.39,12.26,2.07,14.34
Veh_17,24.35,37.02,41.7,12.67,4.68,17.35
Veh_19,36.17,40.39,44.8,4.22,4.4,8.63
Veh_20,36.54,41.7,46.99,5.16,5.29,10.46
Veh_22,37.8,46.99,50.05,9.2,3.06,12.25
Veh_21,37.4,44.8,50.47,7.4,5.67,13.07
Veh_24,39.16,50.47,51.92,11.31,1.45,12.76
Veh_23,38.18,50.05,53.69,11.87,3.64,15.51
Veh_26,40.69,53.69,55.37,13.0,1.68,14.68
Veh_25,40.27,51.92,56.66,11.65,4.74,16.39
Veh_28,43.5,56.66,58.42,13.17,1.76,14.93
Veh_27,42.09,55.37,62.02,13.28,6.65,19.93
Veh_29,45.87,58.42,62.63,12.56,4.2,16.76
Veh_31,46.4,62.63,67.73,16.23,5.11,21.34
Veh_30,45.92,62.02,67.85,16.11,5.82,21.93
Veh_32,46.45,67.73,68.73,21.28,1.0,22.28
Veh_33,48.54,67.85,71.37,19.31,3.52,22.83
Veh_34,52.14,68.73,73.34,16.59,4.6,21.2
Veh_35,52.84,71.37,73.94,18.52,2.57,21.1
Veh_36,53.47,73.34,75.72,19.87,2.38,22.25
Veh_37,53.9,73.94,76.2,20.04,2.26,22.3
Veh_38,57.38,75.72,78.12,18.34,2.4,20.74
Veh_39,57.57,76.2,78.62,18.63,2.42,21.05
Veh_41,60.1,78.62,82.67,18.52,4.05,22.57
Veh_40,58.76,78.12,82.9,19.36,4.78,24.14
Veh_43,63.65,82.67,85.01,19.02,2.33,21.35
Veh_44,64.65,82.9,87.62,18.25,4.72,22.97
Veh_46,68.62,85.01,91.23,16.39,6.23,22.62
Veh_47,69.32,87.62,92.73,18.3,5.11,23.41
Veh_48,70.04,91.23,95.22,21.2,3.99,25.18
Veh_53,72.08,92.73,97.84,20.65,5.11,25.76
Veh_54,75.2,95.22,99.9,20.03,4.68,24.7
Veh_55,75.21,97.84,100.35,22.63,2.51,25.14
Veh_56,75.99,99.9,103.94,23.91,4.04,27.96
Veh_57,76.59,100.35,105.72,23.76,5.36,29.13
Veh_61,81.91,105.72,109.18,23.81,3.47,27.28
Veh_60,81.85,103.94,110.59,22.1,6.64,28.74
Veh_63,84.04,109.18,112.62,25.14,3.43,28.57
Veh_64,84.17,110.59,115.72,26.42,5.14,31.55
Veh_69,87.06,112.62,118.42,25.56,5.8,31.36
Veh_70,88.83,115.72,120.23,26.89,4.51,31.4
Veh_73,94.96,120.23,122.43,25.27,2.2,27.47
Veh_72,93.03,118.42,124.13,25.39,5.71,31.1
Veh_79,98.09,124.13,126.81,26.04,2.68,28.72
Veh_74,95.4,122.43,126.93,27.04,4.5,31.54
Veh_86,102.65,126.93,129.9,24.28,2.96,27.25
Veh_85,101.6,126.81,133.27,25.21,6.47,31.67
Veh_87,104.45,129.9,135.53,25.45,5.63,31.07
Veh_90,106.73,133.27,136.41,26.54,3.14,29.68
Veh_95,110.94,136.41,138.31,25.47,1.9,27.37
Veh_92,109.42,135.53,139.43,26.11,3.9,30.01
Veh_99,122.52,139.43,142.8,16.91,3.37,20.28
Veh_98,113.6,138.31,143.81,24.71,5.49,30.21
