ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,0.88,0.88,4.25,0.0,3.38,3.38
Veh_2,1.97,1.97,4.98,0.0,3.01,3.01
Veh_3,3.69,4.25,8.45,0.57,4.2,4.77
Veh_4,3.79,4.98,9.18,1.19,4.2,5.39
Veh_6,4.81,9.18,13.18,4.37,4.0,8.38
Veh_5,4.01,8.45,14.07,4.44,5.62,10.06
Veh_7,5.95,13.18,15.25,7.23,2.07,9.3
Veh_8,7.21,14.07,16.22,6.86,2.15,9.01
Veh_9,7.99,15.25,17.44,7.26,2.19,9.45
Veh_10,8.81,16.22,19.25,7.41,3.02,10.43
Veh_11,9.66,17.44,23.5,7.78,6.06,13.84
Veh_12,10.25,19.25,24.28,8.99,5.03,14.02
Veh_13,10.46,23.5,27.52,13.04,4.02,17.06
Veh_15,13.87,24.28,28.24,10.41,3.97,14.37
Veh_17,15.53,28.24,30.76,12.71,2.52,15.22
Veh_16,15.01,27.52,33.97,12.51,6.45,18.96
Veh_21,20.39,30.76,34.36,10.37,3.6,13.98
Veh_23,21.69,34.36,37.27,12.67,2.91,15.58
Veh_22,20.93,33.97,37.47,13.03,3.5,16.54
Veh_26,24.06,37.27,38.27,13.21,1.0,14.21
Veh_28,24.68,37.47,41.41,12.79,3.94,16.73
Veh_29,28.49,38.27,41.58,9.78,3.31,13.08
Veh_30,28.9,41.41,44.95,12.5,3.54,16.05
Veh_34,33.6,41.58,45.21,7.97,3.63,11.61
Veh_35,36.24,44.95,46.99,8.71,2.04,10.74
Veh_36,36.42,45.21,47.94,8.79,2.73,11.52
Veh_38,37.43,46.99,49.59,9.56,2.6,12.16
Veh_40,41.76,49.59,53.13,7.83,3.54,11.37
Veh_39,40.13,47.94,55.02,7.81,7.08,14.89
Veh_41,43.69,53.13,56.97,9.44,3.83,13.27
Veh_42,46.36,55.02,60.28,8.66,5.26,13.92
Veh_43,47.1,56.97,60.77,9.86,3.81,13.67
Veh_44,48.5,60.28,62.08,11.78,1.8,13.57
Veh_45,49.64,60.77,67.56,11.14,6.79,17.93
Veh_46,51.35,62.08,68.16,10.72,6.08,16.81
Veh_48,55.2,68.16,70.92,12.95,2.76,15.72
Veh_47,53.45,67.56,73.9,14.11,6.33,20.45
