ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,1.43,1.43,4.39,0.0,2.96,2.96
Veh_2,1.92,1.92,5.77,0.0,3.86,3.86
Veh_3,2.15,4.39,5.96,2.24,1.57,3.81
Veh_4,3.61,5.77,8.27,2.16,2.49,4.65
Veh_5,3.99,5.96,11.13,1.97,5.17,7.15
Veh_6,11.03,11.03,15.04,0.0,4.01,4.01
Veh_8,14.41,15.04,19.61,0.64,4.57,5.21
Veh_7,14.4,14.4,22.11,0.0,7.72,7.72
Veh_9,14.93,19.61,23.08,4.69,3.46,8.15
Veh_10,14.95,22.11,25.61,7.16,3.49,10.66
Veh_11,20.2,23.08,29.73,2.88,6.65,9.53
Veh_12,23.52,25.61,29.83,2.09,4.23,6.32
Veh_14,28.92,29.83,33.61,0.91,3.77,4.68
Veh_13,27.36,29.73,35.7,2.37,5.97,8.34
Veh_16,32.1,35.7,36.7,3.6,1.0,4.6
Veh_15,29.8,33.61,37.05,3.8,3.45,7.25
Veh_17,33.53,36.7,39.58,3.16,2.88,6.04
Veh_18,34.12,37.05,40.86,2.93,3.81,6.74
Veh_19,35.63,39.58,44.59,3.95,5.01,8.96
Veh_20,39.4,40.86,46.14,1.47,5.28,6.74
Veh_21,41.7,44.59,47.22,2.89,2.63,5.53
Veh_22,41.88,46.14,50.03,4.25,3.89,8.14
Veh_23,42.16,47.22,51.6,5.06,4.37,9.44
Veh_24,44.55,50.03,53.27,5.47,3.25,8.72
Veh_25,45.25,51.6,55.83,6.35,4.24,10.58
Veh_26,45.69,53.27,58.62,7.58,5.35,12.93
Veh_27,45.96,55.83,60.71,9.87,4.88,14.75
Veh_28,47.25,58.62,60.91,11.37,2.29,13.66
Veh_30,49.22,60.91,64.22,11.69,3.31,15.0
Veh_29,48.78,60.71,65.22,11.93,4.51,16.44
Veh_32,50.4,65.22,67.34,14.83,2.12,16.95
Veh_31,49.34,64.22,67.45,14.88,3.23,18.11
Veh_33,52.88,67.34,70.51,14.46,3.17,17.64
Veh_34,53.36,67.45,73.13,14.09,5.67,19.77
Veh_35,55.41,70.51,75.78,15.1,5.27,20.37
Veh_37,57.95,75.78,78.56,17.83,2.78,20.61
Veh_36,57.19,73.13,78.97,15.94,5.84,21.78
Veh_38,59.84,78.56,82.46,18.72,3.9,22.62
Veh_39,60.92,78.97,83.06,18.05,4.09,22.15
Veh_40,61.32,82.46,85.49,21.14,3.03,24.17
Veh_41,61.96,83.06,87.54,21.11,4.48,25.58
Veh_42,62.06,85.49,88.67,23.43,3.18,26.61
Veh_43,64.29,87.54,91.01,23.25,3.47,26.72
Veh_44,65.3,88.67,94.47,23.37,5.8,29.17
Veh_49,69.06,91.01,95.29,21.95,4.28,26.23
Veh_50,70.55,94.47,97.83,23.93,3.36,27.29
Veh_51,74.5,95.29,97.9,20.79,2.61,23.4
Veh_52,75.77,97.83,100.61,22.06,2.78,24.84
Veh_53,77.56,97.9,102.13,20.35,4.22,24.57
Veh_55,82.02,102.13,104.93,20.11,2.81,22.91
Veh_54,80.15,100.61,105.51,20.45,4.9,25.36
Veh_56,83.77,104.93,108.51,21.16,3.58,24.74
Veh_57,84.22,105.51,109.13,21.29,3.62,24.91
Veh_60,87.55,109.13,113.37,21.58,4.24,25.83
Veh_58,87.02,108.51,113.56,21.49,5.05,26.54
Veh_62,89.03,113.37,115.84,24.34,2.47,26.81
Veh_65,91.55,113.56,117.24,22.01,3.69,25.7
Veh_68,95.77,117.24,118.78,21.47,1.54,23.01
Veh_67,95.01,115.84,119.9,20.83,4.05,24.88
Veh_71,98.18,118.78,124.48,20.6,5.69,26.29
Veh_72,99.53,119.9,125.18,20.37,5.29,25.66
Veh_74,101.05,124.48,128.78,23.42,4.31,27.73
Veh_75,103.91,125.18,130.44,21.28,5.25,26.53
Veh_77,106.92,128.78,131.69,21.86,2.91,24.77
Veh_78,107.01,130.44,132.88,23.42,2.44,25.87
Veh_81,110.66,131.69,135.71,21.04,4.02,25.05
Veh_82,112.01,132.88,137.38,20.87,4.5,25.37
Veh_84,114.45,135.71,141.51,21.26,5.8,27.06
Veh_85,115.32,137.38,142.11,22.06,4.73,26.79
Veh_86,115.91,141.51,144.17,25.6,2.66,28.27
Veh_88,117.6,142.11,147.59,24.51,5.48,29.99
Veh_89,119.26,144.17,147.95,24.91,3.78,28.69
Veh_93,124.73,147.95,151.89,23.22,3.93,27.15
Veh_94,125.42,151.89,154.79,26.47,2.9,29.37
Veh_90,120.26,147.59,154.97,27.33,7.39,34.72
Veh_100,131.13,154.97,159.02,23.84,4.05,27.88
Veh_97,129.38,154.79,160.93,25.41,6.14,31.55
Veh_101,132.74,159.02,161.7,26.28,2.68,28.96
Veh_102,133.57,160.93,165.23,27.36,4.3,31.66
Veh_104,135.91,161.7,167.5,25.78,5.8,31.59
Veh_107,140.91,165.23,168.9,24.33,3.67,28.0
Veh_109,142.05,167.5,172.29,25.45,4.79,30.24
Veh_110,144.02,168.9,172.69,24.88,3.79,28.67
Veh_111,150.18,172.29,175.44,22.1,3.15,25.26
Veh_112,150.49,172.69,175.5,22.2,2.81,25.01
Veh_114,152.53,175.5,178.94,22.97,3.43,26.4
Veh_113,151.11,175.44,179.67,24.33,4.23,28.55
Veh_117,154.96,178.94,182.39,23.98,3.45,27.43
Veh_124,161.55,182.39,184.72,20.84,2.33,23.18
Veh_118,155.51,179.67,188.02,24.16,8.35,32.51
Veh_126,163.8,188.02,190.33,24.21,2.31,26.53
Veh_125,162.14,184.72,191.39,22.58,6.67,29.25
Veh_128,165.65,190.33,192.59,24.69,2.26,26.95
Veh_130,168.72,191.39,194.9,22.67,3.51,26.18
Veh_132,173.87,194.9,196.43,21.03,1.53,22.56
Veh_131,172.06,192.59,196.5,20.53,3.91,24.44
Veh_134,175.77,196.5,198.33,20.73,1.83,22.56
Veh_133,173.9,196.43,202.17,22.54,5.74,28.27
Veh_135,176.2,198.33,202.84,22.13,4.51,26.63
Veh_138,182.34,202.84,207.21,20.5,4.37,24.87
Veh_137,182.33,202.17,209.32,19.84,7.15,26.99
Veh_139,184.7,207.21,209.9,22.51,2.7,25.21
Veh_141,188.71,209.9,215.46,21.2,5.55,26.75
Veh_140,187.45,209.32,215.94,21.87,6.62,28.48
Veh_143,193.0,215.46,217.66,22.46,2.21,24.66
Veh_145,195.73,217.66,219.87,21.93,2.21,24.14
Veh_144,193.75,215.94,222.1,22.19,6.16,28.35
Veh_146,196.4,219.87,224.69,23.47,4.82,28.29
Veh_147,196.49,222.1,225.74,25.6,3.65,29.25
Veh_151,199.53,225.74,228.39,26.21,2.65,28.86
Veh_148,196.9,224.69,230.94,27.79,6.25,34.04
Veh_154,202.23,228.39,234.04,26.16,5.65,31.81
Veh_155,203.54,230.94,234.83,27.41,3.89,31.3
Veh_158,207.86,234.04,238.76,26.17,4.72,30.9
Veh_159,210.11,234.83,239.58,24.72,4.75,29.47
Veh_160,211.58,238.76,241.55,27.18,2.79,29.98
Veh_166,216.22,239.58,243.65,23.36,4.07,27.43
Veh_167,217.78,241.55,243.87,23.77,2.31,26.08
Veh_168,219.37,243.65,247.81,24.28,4.16,28.43
Veh_169,221.31,243.87,249.56,22.56,5.7,28.25
Veh_170,225.88,247.81,251.31,21.92,3.51,25.43
Veh_171,226.21,249.56,254.11,23.35,4.54,27.9
Veh_172,226.63,251.31,254.21,24.68,2.9,27.59
Veh_176,230.98,254.21,256.82,23.24,2.6,25.84
Veh_174,229.07,254.11,257.03,25.04,2.93,27.96
Veh_179,234.09,256.82,260.21,22.72,3.39,26.12
Veh_182,236.31,257.03,260.6,20.73,3.57,24.3
Veh_186,239.22,260.21,264.2,20.99,3.99,24.98
Veh_187,243.62,260.6,264.83,16.98,4.22,21.2
Veh_188,244.52,264.2,267.04,19.68,2.84,22.53
Veh_189,247.62,264.83,268.22,17.2,3.39,20.59
Veh_190,247.68,267.04,271.0,19.37,3.96,23.33
Veh_191,248.49,268.22,272.68,19.72,4.46,24.18
Veh_192,250.47,271.0,274.81,20.53,3.8,24.33
Veh_193,253.6,272.68,275.17,19.08,2.5,21.58
Veh_194,254.42,274.81,276.22,20.39,1.42,21.8
Veh_195,255.16,275.17,277.31,20.01,2.14,22.15
Veh_198,257.06,276.22,278.84,19.16,2.61,21.78
Veh_199,257.22,277.31,280.29,20.09,2.98,23.07
Veh_203,263.71,278.84,284.41,15.13,5.57,20.7
Veh_204,264.16,280.29,286.9,16.12,6.62,22.74
Veh_205,267.3,284.41,290.2,17.11,5.79,22.9
Veh_206,269.46,286.9,292.13,17.44,5.23,22.67
Veh_207,271.01,290.2,293.01,19.19,2.81,22.0
Veh_208,271.6,292.13,297.25,20.54,5.12,25.66
Veh_209,273.9,293.01,297.42,19.11,4.4,23.51
Veh_210,275.09,297.25,300.41,22.17,3.16,25.33
Veh_211,276.62,297.42,302.19,20.8,4.78,25.58
Veh_213,279.81,302.19,303.42,22.38,1.23,23.61
Veh_212,279.47,300.41,303.87,20.95,3.46,24.4
Veh_214,280.09,303.42,306.06,23.33,2.64,25.97
Veh_215,284.01,303.87,306.15,19.86,2.27,22.14
Veh_217,285.5,306.15,312.07,20.65,5.93,26.57
Veh_216,284.7,306.06,312.35,21.36,6.29,27.66
Veh_224,291.13,312.35,314.1,21.22,1.75,22.97
Veh_218,286.99,312.07,318.03,25.08,5.96,31.03
Veh_225,296.52,314.1,319.28,17.57,5.18,22.75
Veh_226,297.01,318.03,320.54,21.02,2.51,23.53
Veh_228,299.94,320.54,324.89,20.6,4.36,24.96
Veh_229,301.79,324.89,328.45,23.1,3.56,26.66
Veh_227,299.07,319.28,328.72,20.21,9.45,29.66
Veh_230,302.69,328.45,332.34,25.76,3.89,29.65
Veh_231,304.11,328.72,333.79,24.61,5.07,29.68
Veh_232,304.6,332.34,334.59,27.74,2.25,29.98
Veh_234,307.91,333.79,336.99,25.88,3.2,29.08
Veh_235,309.05,334.59,339.28,25.54,4.69,30.23
Veh_237,312.15,336.99,339.63,24.84,2.64,27.48
Veh_240,315.01,339.63,343.7,24.63,4.06,28.69
Veh_238,312.36,339.28,344.33,26.92,5.05,31.97
Veh_243,319.99,344.33,347.95,24.34,3.62,27.96
Veh_242,319.55,343.7,348.52,24.14,4.83,28.97
Veh_244,321.52,347.95,352.98,26.44,5.02,31.46
Veh_248,328.32,348.52,353.83,20.21,5.31,25.51
Veh_250,332.52,353.83,355.88,21.31,2.05,23.36
Veh_249,332.51,352.98,358.07,20.47,5.1,25.57
Veh_251,335.58,355.88,361.25,20.3,5.37,25.67
Veh_252,335.95,358.07,362.71,22.12,4.64,26.76
Veh_253,336.32,361.25,365.9,24.93,4.65,29.58
Veh_255,337.33,362.71,368.59,25.39,5.88,31.26
Veh_257,339.56,365.9,371.12,26.34,5.22,31.56
Veh_258,340.87,368.59,372.42,27.72,3.83,31.55
Veh_261,343.85,371.12,375.05,27.27,3.93,31.2
Veh_264,348.65,375.05,376.21,26.4,1.16,27.56
Veh_262,344.97,372.42,378.43,27.45,6.01,33.46
Veh_265,353.67,376.21,380.88,22.54,4.67,27.22
Veh_267,354.47,380.88,383.31,26.42,2.43,28.85
Veh_266,353.73,378.43,385.04,24.7,6.61,31.31
Veh_269,355.9,383.31,386.17,27.41,2.86,30.27
Veh_273,358.32,385.04,389.19,26.72,4.15,30.87
Veh_275,361.54,386.17,389.67,24.63,3.5,28.14
Veh_279,364.17,389.19,392.2,25.01,3.01,28.03
Veh_280,366.38,389.67,392.83,23.29,3.16,26.45
Veh_282,369.39,392.2,395.44,22.81,3.24,26.04
Veh_284,371.89,392.83,396.86,20.94,4.03,24.97
Veh_286,372.75,395.44,398.28,22.68,2.84,25.53
Veh_291,375.9,396.86,402.38,20.96,5.52,26.48
Veh_292,376.66,398.28,402.44,21.62,4.16,25.78
Veh_295,379.81,402.38,404.21,22.56,1.84,24.4
Veh_299,383.76,402.44,407.38,18.68,4.94,23.62
Veh_300,384.8,404.21,408.82,19.42,4.6,24.02
Veh_302,385.08,407.38,412.78,22.3,5.4,27.7
Veh_306,387.0,408.82,413.87,21.82,5.05,26.87
Veh_312,391.82,413.87,416.89,22.05,3.02,25.07
Veh_311,391.41,412.78,417.36,21.37,4.58,25.95
Veh_314,395.6,417.36,418.97,21.75,1.62,23.37
Veh_313,395.22,416.89,420.82,21.67,3.93,25.6
Veh_315,396.05,418.97,423.32,22.92,4.35,27.27
Veh_319,398.07,420.82,423.96,22.75,3.13,25.89
Veh_324,402.49,423.96,426.46,21.46,2.5,23.96
Veh_320,400.2,423.32,426.67,23.12,3.35,26.47
Veh_325,403.38,426.46,429.85,23.08,3.4,26.47
Veh_326,404.39,426.67,431.49,22.29,4.82,27.11
Veh_330,410.79,429.85,434.55,19.06,4.7,23.76
Veh_331,411.13,431.49,434.72,20.36,3.22,23.59
Veh_336,413.93,434.72,439.07,20.79,4.36,25.15
Veh_334,412.79,434.55,440.51,21.75,5.96,27.72
Veh_340,418.82,440.51,442.84,21.69,2.33,24.02
Veh_341,420.9,442.84,444.59,21.95,1.75,23.7
Veh_339,417.22,439.07,444.95,21.86,5.87,27.73
Veh_343,423.6,444.95,447.66,21.35,2.71,24.06
Veh_342,421.24,444.59,448.69,23.35,4.1,27.45
Veh_344,424.41,447.66,449.95,23.25,2.3,25.54
Veh_348,427.32,449.95,452.97,22.63,3.01,25.65
Veh_347,426.75,448.69,454.11,21.94,5.41,27.36
Veh_353,431.27,452.97,456.18,21.7,3.21,24.91
Veh_354,432.05,454.11,460.35,22.06,6.24,28.3
Veh_357,434.61,456.18,461.24,21.57,5.06,26.63
Veh_358,437.24,460.35,463.95,23.11,3.6,26.71
Veh_362,440.61,461.24,466.15,20.62,4.91,25.53
Veh_363,440.7,463.95,467.36,23.25,3.41,26.66
Veh_366,443.19,466.15,470.1,22.96,3.95,26.91
Veh_368,445.14,467.36,471.39,22.22,4.02,26.24
Veh_369,445.48,470.1,474.54,24.62,4.44,29.06
Veh_371,448.41,471.39,474.93,22.98,3.55,26.53
Veh_373,451.3,474.93,478.59,23.64,3.66,27.29
Veh_372,450.25,474.54,478.84,24.29,4.3,28.59
Veh_374,454.8,478.59,480.33,23.79,1.74,25.53
Veh_375,458.62,478.84,480.85,20.22,2.01,22.23
Veh_376,460.41,480.33,484.47,19.93,4.14,24.06
Veh_377,462.18,480.85,485.84,18.68,4.98,23.66
Veh_378,462.95,484.47,490.08,21.51,5.61,27.12
Veh_379,464.41,485.84,491.62,21.43,5.78,27.21
Veh_385,468.36,491.62,494.72,23.26,3.1,26.36
Veh_384,466.95,490.08,494.76,23.12,4.68,27.8
Veh_387,470.88,494.72,498.05,23.84,3.33,27.17
Veh_388,471.52,494.76,499.25,23.23,4.49,27.72
Veh_390,474.63,498.05,501.99,23.42,3.94,27.36
Veh_391,475.07,499.25,503.9,24.18,4.65,28.82
Veh_395,480.28,501.99,504.51,21.71,2.52,24.23
Veh_397,483.01,504.51,505.51,21.5,1.0,22.5
Veh_396,481.26,503.9,506.2,22.64,2.31,24.94
Veh_399,487.01,506.2,508.98,19.19,2.78,21.97
Veh_398,484.06,505.51,509.32,21.44,3.82,25.26
Veh_400,487.33,508.98,511.64,21.65,2.66,24.31
Veh_402,490.51,509.32,513.39,18.81,4.07,22.88
Veh_403,495.55,511.64,513.51,16.09,1.87,17.96
Veh_404,495.82,513.39,516.63,17.57,3.24,20.82
Veh_405,496.24,513.51,518.0,17.27,4.49,21.76
Veh_407,499.01,516.63,518.21,17.63,1.58,19.21
Veh_408,499.66,518.0,521.2,18.34,3.2,21.54
Veh_410,503.06,518.21,522.03,15.15,3.81,18.97
Veh_411,503.91,521.2,526.19,17.29,4.99,22.28
Veh_412,504.67,522.03,528.25,17.35,6.22,23.58
Veh_415,507.16,528.25,530.16,21.09,1.91,23.0
Veh_414,506.71,526.19,531.43,19.48,5.24,24.72
Veh_417,509.67,530.16,535.16,20.49,5.0,25.48
Veh_418,512.39,531.43,536.16,19.04,4.73,23.77
Veh_419,513.09,535.16,539.47,22.07,4.31,26.38
Veh_420,514.57,536.16,540.16,21.59,4.0,25.59
Veh_421,516.62,539.47,543.15,22.85,3.68,26.53
Veh_423,518.2,543.15,546.46,24.95,3.31,28.26
Veh_422,517.46,540.16,546.72,22.7,6.55,29.26
Veh_425,521.85,546.72,550.37,24.86,3.65,28.52
Veh_424,520.83,546.46,551.34,25.63,4.88,30.51
Veh_427,527.63,551.34,555.52,23.71,4.18,27.89
Veh_426,527.13,550.37,555.87,23.23,5.5,28.73
Veh_429,529.96,555.52,557.91,25.56,2.39,27.95
Veh_430,530.51,555.87,558.84,25.36,2.97,28.33
Veh_431,531.93,557.91,561.2,25.97,3.29,29.26
Veh_432,536.4,558.84,563.34,22.44,4.5,26.94
Veh_434,540.2,563.34,565.84,23.14,2.5,25.64
Veh_433,537.83,561.2,568.2,23.37,7.0,30.37
Veh_435,540.28,565.84,570.56,25.56,4.72,30.28
Veh_438,544.73,568.2,574.09,23.47,5.89,29.36
Veh_440,546.64,570.56,576.06,23.92,5.5,29.41
Veh_441,547.09,574.09,579.41,26.99,5.33,32.32
Veh_444,550.93,576.06,580.5,25.13,4.44,29.57
Veh_450,556.27,580.5,582.78,24.22,2.28,26.5
Veh_445,551.48,579.41,583.72,27.93,4.31,32.24
Veh_451,556.65,582.78,586.14,26.12,3.37,29.49
Veh_454,561.11,583.72,586.22,22.61,2.5,25.11
Veh_456,561.67,586.22,589.61,24.55,3.38,27.94
Veh_455,561.32,586.14,590.29,24.82,4.14,28.97
Veh_461,567.22,590.29,592.81,23.06,2.53,25.59
Veh_459,563.41,589.61,594.57,26.2,4.96,31.16
Veh_462,569.77,592.81,595.31,23.04,2.5,25.54
Veh_467,575.4,595.31,600.0,19.91,4.69,24.6
Veh_465,570.94,594.57,600.15,23.63,5.58,29.2
Veh_470,580.57,600.15,601.28,19.58,1.14,20.71
Veh_468,576.21,600.0,604.29,23.79,4.29,28.08
Veh_471,580.85,601.28,607.05,20.43,5.77,26.2
Veh_473,586.53,604.29,608.84,17.76,4.54,22.31
Veh_474,587.05,607.05,610.39,20.0,3.34,23.34
Veh_475,588.38,608.84,612.16,20.46,3.32,23.78
Veh_476,590.61,610.39,614.35,19.78,3.96,23.74
Veh_477,590.96,612.16,616.83,21.2,4.68,25.88
Veh_478,591.59,614.35,617.96,22.76,3.61,26.38
Veh_481,593.94,616.83,619.97,22.9,3.14,26.04
Veh_482,594.86,617.96,621.72,23.11,3.75,26.86
Veh_487,601.48,621.72,623.75,20.23,2.04,22.27
Veh_483,595.8,619.97,625.32,24.17,5.35,29.52
Veh_488,602.23,623.75,629.49,21.52,5.74,27.26
Veh_489,602.76,625.32,629.57,22.56,4.25,26.82
Veh_492,607.22,629.57,634.06,22.36,4.48,26.84
Veh_491,605.48,629.49,634.62,24.01,5.13,29.13
Veh_493,611.58,634.06,635.06,22.48,1.0,23.48
Veh_495,614.43,635.06,637.17,20.62,2.11,22.74
Veh_496,616.79,637.17,639.67,20.38,2.5,22.87
Veh_494,613.58,634.62,640.79,21.03,6.17,27.2
Veh_497,617.61,639.67,642.8,22.05,3.13,25.18
Veh_498,619.62,640.79,644.71,21.16,3.93,25.09
Veh_499,621.1,642.8,647.54,21.69,4.75,26.44
Veh_500,622.23,644.71,647.81,22.48,3.09,25.57
Veh_501,625.24,647.54,650.73,22.3,3.19,25.49
Veh_502,625.77,647.81,652.1,22.03,4.29,26.33
Veh_504,629.74,650.73,654.25,20.99,3.52,24.51
Veh_505,631.02,652.1,654.51,21.08,2.41,23.49
Veh_512,637.41,654.51,658.45,17.1,3.94,21.05
Veh_511,634.99,654.25,659.77,19.26,5.52,24.78
Veh_513,639.36,658.45,661.6,19.1,3.14,22.24
Veh_514,639.46,659.77,664.01,20.31,4.24,24.55
Veh_516,641.5,661.6,665.11,20.1,3.51,23.6
Veh_517,641.56,664.01,667.82,22.45,3.82,26.26
Veh_519,645.0,665.11,670.09,20.11,4.98,25.09
Veh_520,645.29,667.82,674.59,22.53,6.76,29.29
Veh_521,649.91,670.09,675.12,20.17,5.04,25.21
Veh_523,656.89,675.12,678.37,18.23,3.24,21.48
Veh_522,654.98,674.59,678.38,19.6,3.79,23.39
Veh_525,658.31,678.38,681.52,20.07,3.14,23.21
Veh_524,657.55,678.37,682.93,20.82,4.57,25.38
Veh_527,663.34,682.93,686.59,19.59,3.66,23.25
Veh_526,659.22,681.52,688.5,22.3,6.98,29.28
Veh_528,663.69,686.59,689.82,22.9,3.23,26.13
Veh_529,663.7,688.5,692.2,24.8,3.71,28.5
Veh_530,664.67,689.82,693.28,25.15,3.46,28.61
Veh_531,665.91,692.2,695.56,26.3,3.35,29.65
Veh_537,670.7,695.56,697.61,24.86,2.06,26.92
Veh_533,668.36,693.28,698.24,24.91,4.97,29.88
Veh_540,675.48,698.24,700.61,22.76,2.37,25.13
Veh_538,675.09,697.61,702.02,22.53,4.4,26.93
Veh_541,679.18,700.61,704.11,21.43,3.49,24.93
Veh_542,679.86,702.02,705.21,22.16,3.19,25.35
Veh_544,681.64,704.11,707.63,22.46,3.52,25.98
Veh_547,683.38,705.21,710.07,21.83,4.86,26.69
Veh_550,688.62,707.63,712.99,19.01,5.36,24.37
Veh_551,688.96,710.07,713.69,21.11,3.62,24.73
Veh_553,693.61,713.69,715.26,20.09,1.56,21.65
Veh_554,694.36,715.26,718.7,20.9,3.44,24.34
Veh_552,693.09,712.99,719.97,19.9,6.98,26.88
