ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,1.58,1.58,7.8,0.0,6.22,6.22
Veh_2,2.03,2.03,9.99,0.0,7.96,7.96
Veh_3,2.39,7.8,12.86,5.41,5.06,10.47
Veh_4,3.38,9.99,16.31,6.61,6.32,12.93
Veh_5,4.92,12.86,17.9,7.93,5.04,12.98
Veh_6,5.65,16.31,22.41,10.65,6.1,16.75
Veh_7,6.16,17.9,23.23,11.73,5.33,17.07
Veh_8,6.92,22.41,28.78,15.49,6.38,21.87
Veh_9,9.27,23.23,29.37,13.96,6.14,20.1
Veh_10,9.87,28.78,32.74,18.91,3.95,22.87
Veh_11,10.97,29.37,32.8,18.4,3.43,21.83
Veh_12,11.18,32.74,37.16,21.56,4.43,25.98
Veh_13,11.66,32.8,37.68,21.14,4.89,26.03
Veh_14,12.21,37.16,40.27,24.95,3.11,28.06
Veh_15,12.5,37.68,43.21,25.19,5.53,30.72
Veh_16,14.09,40.27,47.0,26.18,6.73,32.91
Veh_17,14.39,43.21,50.02,28.82,6.81,35.63
Veh_18,15.47,47.0,52.48,31.53,5.47,37.01
Veh_20,17.58,52.48,54.88,34.9,2.41,37.31
Veh_19,16.0,50.02,55.8,34.02,5.78,39.79
Veh_22,21.26,55.8,57.92,34.54,2.13,36.67
Veh_21,19.71,54.88,59.88,35.18,5.0,40.17
Veh_23,21.55,57.92,61.78,36.37,3.86,40.23
Veh_24,27.01,59.88,66.42,32.87,6.54,39.41
Veh_25,28.86,61.78,66.95,32.92,5.17,38.1
Veh_26,30.74,66.42,71.56,35.69,5.13,40.82
Veh_27,32.59,66.95,73.87,34.36,6.92,41.28
Veh_29,34.54,73.87,77.92,39.33,4.05,43.38
Veh_28,33.24,71.56,78.67,38.32,7.11,45.43
Veh_31,36.12,78.67,82.82,42.55,4.15,46.7
Veh_30,35.95,77.92,83.58,41.97,5.66,47.63
Veh_32,37.15,82.82,85.99,45.67,3.17,48.84
Veh_33,37.34,83.58,89.48,46.24,5.9,52.14
Veh_34,37.57,85.99,91.8,48.41,5.82,54.23
Veh_35,39.08,89.48,93.33,50.41,3.84,54.25
Veh_36,39.29,91.8,98.2,52.51,6.39,58.9
Veh_37,41.56,93.33,102.66,51.77,9.33,61.1
Veh_38,41.68,98.2,106.46,56.52,8.26,64.78
Veh_39,42.53,102.66,110.4,60.13,7.74,67.87
Veh_40,43.4,106.46,110.78,63.05,4.32,67.37
Veh_41,47.57,110.4,115.36,62.82,4.96,67.78
Veh_42,48.26,110.78,118.62,62.52,7.84,70.36
Veh_43,48.37,115.36,119.38,66.99,4.02,71.01
Veh_45,50.35,119.38,122.89,69.03,3.51,72.54
Veh_44,48.93,118.62,125.94,69.69,7.33,77.02
Veh_46,51.28,122.89,126.88,71.61,3.99,75.6
Veh_47,53.15,125.94,131.08,72.79,5.14,77.93
Veh_48,55.57,126.88,132.48,71.31,5.6,76.91
Veh_49,55.63,131.08,136.9,75.45,5.82,81.26
Veh_50,55.74,132.48,137.36,76.75,4.87,81.62
Veh_51,56.27,136.9,140.03,80.63,3.14,83.77
Veh_52,56.51,137.36,142.3,80.84,4.94,85.78
Veh_53,56.88,140.03,143.81,83.16,3.78,86.94
Veh_54,58.54,142.3,148.13,83.75,5.83,89.59
Veh_55,59.37,143.81,151.21,84.45,7.4,91.84
Veh_56,60.33,148.13,152.56,87.8,4.43,92.23
Veh_57,62.55,151.21,157.69,88.66,6.48,95.15
Veh_58,63.14,152.56,158.92,89.42,6.36,95.78
Veh_59,63.98,157.69,162.84,93.71,5.15,98.86
Veh_60,64.37,158.92,166.5,94.55,7.58,102.13
Veh_61,64.66,162.84,166.62,98.18,3.78,101.96
Veh_62,65.59,166.5,169.02,100.9,2.53,103.43
Veh_63,68.15,166.62,173.64,98.48,7.01,105.49
Veh_64,73.96,169.02,174.92,95.07,5.9,100.97
Veh_65,74.2,173.64,179.86,99.43,6.23,105.66
