ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,1.72,1.72,4.78,0.0,3.05,3.05
Veh_2,2.23,2.23,7.11,0.0,4.88,4.88
Veh_3,3.19,4.78,7.96,1.59,3.19,4.77
Veh_4,3.84,7.11,11.77,3.27,4.66,7.93
Veh_5,5.72,7.96,14.35,2.24,6.39,8.63
Veh_6,7.13,11.77,15.12,4.64,3.35,7.98
Veh_7,7.39,14.35,19.58,6.97,5.23,12.19
Veh_8,9.22,15.12,22.76,5.9,7.64,13.54
Veh_9,9.5,19.58,23.95,10.08,4.37,14.45
Veh_10,10.17,22.76,26.39,12.58,3.63,16.22
Veh_11,10.64,23.95,28.11,13.31,4.16,17.47
Veh_12,11.17,26.39,30.83,15.22,4.44,19.66
Veh_14,12.32,28.11,35.86,15.79,7.74,23.54
Veh_17,15.9,30.83,36.29,14.93,5.46,20.39
Veh_19,20.66,36.29,39.43,15.63,3.14,18.77
Veh_18,20.12,35.86,39.58,15.73,3.72,19.45
Veh_20,24.16,39.43,42.25,15.27,2.82,18.09
Veh_21,24.95,39.58,43.73,14.63,4.15,18.78
Veh_26,26.63,42.25,47.5,15.62,5.25,20.88
Veh_29,28.19,43.73,48.46,15.54,4.73,20.27
Veh_30,32.24,47.5,50.5,15.26,3.0,18.26
Veh_35,36.59,48.46,50.52,11.87,2.07,13.93
Veh_36,41.45,50.5,53.93,9.05,3.43,12.48
Veh_37,42.1,50.52,56.35,8.42,5.83,14.25
Veh_38,42.85,53.93,58.26,11.08,4.33,15.41
Veh_39,44.03,56.35,62.0,12.32,5.65,17.97
Veh_41,49.16,62.0,64.73,12.84,2.73,15.57
Veh_40,48.63,58.26,65.51,9.63,7.25,16.88
Veh_43,52.98,65.51,71.99,12.53,6.48,19.01
Veh_42,52.94,64.73,72.08,11.78,7.35,19.14
Veh_45,54.78,72.08,75.46,17.3,3.38,20.68
Veh_48,56.98,75.46,77.87,18.48,2.41,20.89
Veh_44,54.15,71.99,77.97,17.84,5.98,23.82
Veh_49,59.07,77.87,81.19,18.8,3.32,22.12
Veh_52,64.22,77.97,82.08,13.75,4.11,17.85
Veh_54,66.67,81.19,83.8,14.52,2.61,17.13
Veh_55,67.09,82.08,84.89,14.98,2.81,17.79
Veh_63,72.51,84.89,86.65,12.38,1.76,14.14
Veh_62,72.18,83.8,87.62,11.62,3.82,15.45
Veh_65,75.83,86.65,89.22,10.82,2.57,13.4
Veh_69,80.43,89.22,91.14,8.8,1.92,10.72
Veh_68,79.15,87.62,91.64,8.47,4.02,12.49
Veh_71,82.32,91.64,96.4,9.32,4.76,14.08
Veh_70,81.75,91.14,98.72,9.39,7.58,16.96
Veh_74,89.32,96.4,102.15,7.07,5.76,12.83
Veh_75,95.48,98.72,103.3,3.23,4.58,7.81
Veh_76,95.99,102.15,107.81,6.17,5.66,11.82
Veh_77,97.88,103.3,108.22,5.42,4.93,10.35
Veh_78,100.74,107.81,110.32,7.07,2.51,9.58
Veh_79,101.29,108.22,112.24,6.93,4.02,10.95
Veh_80,108.62,110.32,114.08,1.7,3.76,5.46
Veh_81,109.34,112.24,114.43,2.9,2.19,5.09
Veh_82,109.79,114.08,118.91,4.29,4.83,9.12
Veh_83,110.42,114.43,121.77,4.01,7.34,11.35
Veh_84,110.97,118.91,122.17,7.94,3.25,11.19
Veh_85,112.75,121.77,127.23,9.02,5.46,14.49
Veh_86,114.72,122.17,128.13,7.45,5.97,13.41
Veh_87,116.75,127.23,129.99,10.49,2.76,13.25
Veh_88,117.77,128.13,131.18,10.36,3.05,13.41
Veh_90,120.86,131.18,134.95,10.32,3.77,14.09
Veh_89,118.11,129.99,135.37,11.88,5.38,17.26
Veh_93,122.08,135.37,137.88,13.29,2.51,15.8
Veh_91,121.14,134.95,138.17,13.81,3.22,17.04
Veh_94,122.57,137.88,140.72,15.31,2.84,18.15
Veh_101,128.77,138.17,143.09,9.4,4.92,14.32
Veh_102,129.16,140.72,146.61,11.57,5.89,17.46
Veh_104,132.57,143.09,148.13,10.53,5.03,15.56
Veh_105,133.65,146.61,149.55,12.96,2.93,15.89
Veh_106,135.28,148.13,151.27,12.84,3.15,15.99
Veh_107,137.21,149.55,151.47,12.34,1.92,14.26
Veh_108,138.5,151.27,154.92,12.77,3.65,16.42
Veh_109,139.24,151.47,155.08,12.23,3.61,15.84
Veh_111,144.59,155.08,157.79,10.49,2.72,13.2
Veh_110,144.58,154.92,158.08,10.34,3.17,13.5
Veh_114,147.49,157.79,159.95,10.3,2.16,12.46
Veh_115,149.7,158.08,160.65,8.38,2.57,10.95
Veh_116,151.64,159.95,163.16,8.31,3.21,11.52
Veh_117,152.71,160.65,165.41,7.94,4.76,12.7
Veh_118,153.39,163.16,168.64,9.77,5.48,15.24
Veh_119,154.96,165.41,169.09,10.44,3.69,14.13
Veh_120,156.37,168.64,170.87,12.27,2.24,14.51
