ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,5.36,5.36,7.87,0.0,2.51,2.51
Veh_2,10.25,10.25,13.44,0.0,3.2,3.2
Veh_3,14.57,14.57,19.24,0.0,4.67,4.67
Veh_4,19.28,19.28,22.16,0.0,2.88,2.88
Veh_5,24.77,24.77,30.74,0.0,5.97,5.97
Veh_6,30.15,30.15,36.74,0.0,6.59,6.59
Veh_7,34.5,34.5,38.42,0.0,3.92,3.92
Veh_8,38.78,38.78,40.27,0.0,1.49,1.49
Veh_9,44.13,44.13,49.73,0.0,5.59,5.59
Veh_10,48.56,48.56,52.01,0.0,3.44,3.44
Veh_11,53.99,53.99,57.63,0.0,3.64,3.64
Veh_12,58.96,58.96,63.27,0.0,4.32,4.32
Veh_13,64.77,64.77,67.68,0.0,2.91,2.91
Veh_14,69.52,69.52,76.6,0.0,7.08,7.08
Veh_15,74.25,74.25,79.58,0.0,5.33,5.33
Veh_16,79.63,79.63,80.92,0.0,1.29,1.29
Veh_17,84.71,84.71,87.28,0.0,2.58,2.58
Veh_18,89.61,89.61,95.43,0.0,5.82,5.82
Veh_19,93.76,93.76,96.82,0.0,3.06,3.06
Veh_20,99.25,99.25,104.63,0.0,5.38,5.38
Veh_21,103.84,103.84,106.86,0.0,3.02,3.02
Veh_22,108.17,108.17,110.78,0.0,2.61,2.61
Veh_23,112.81,112.81,114.38,0.0,1.58,1.58
Veh_24,117.26,117.26,122.89,0.0,5.63,5.63
Veh_25,122.47,122.47,127.69,0.0,5.22,5.22
Veh_26,128.36,128.36,134.23,0.0,5.86,5.86
Veh_27,132.42,132.42,134.81,0.0,2.39,2.39
Veh_28,138.01,138.01,142.07,0.0,4.06,4.06
Veh_29,142.53,142.53,144.53,0.0,2.0,2.0
Veh_30,147.74,147.74,153.8,0.0,6.06,6.06
Veh_31,153.43,153.43,157.28,0.0,3.85,3.85
Veh_32,158.93,158.93,163.06,0.0,4.12,4.12
Veh_33,163.71,163.71,168.21,0.0,4.5,4.5
Veh_34,168.95,168.95,172.21,0.0,3.26,3.26
Veh_35,173.81,173.81,177.44,0.0,3.63,3.63
