ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,0.2,0.2,2.39,0.0,2.2,2.2
Veh_3,0.73,2.39,5.7,1.67,3.3,4.97
Veh_2,0.67,0.67,6.05,0.0,5.38,5.38
Veh_4,1.42,5.7,9.42,4.27,3.72,8.0
Veh_5,2.5,6.05,12.17,3.55,6.11,9.67
Veh_6,2.71,9.42,14.63,6.71,5.21,11.92
Veh_7,5.01,12.17,17.63,7.16,5.47,12.63
Veh_8,6.9,14.63,18.34,7.73,3.71,11.44
Veh_10,7.33,18.34,21.01,11.01,2.66,13.68
Veh_11,7.66,21.01,23.32,13.34,2.31,15.65
Veh_9,7.06,17.63,25.61,10.57,7.97,18.54
Veh_12,8.09,23.32,28.48,15.23,5.16,20.39
Veh_19,12.36,28.48,29.79,16.12,1.31,17.43
Veh_17,11.06,25.61,30.69,14.54,5.09,19.63
Veh_22,14.77,29.79,32.95,15.02,3.16,18.18
Veh_24,18.19,30.69,35.26,12.5,4.57,17.07
Veh_25,20.45,32.95,37.16,12.5,4.21,16.71
Veh_28,21.28,35.26,37.52,13.98,2.26,16.24
Veh_31,24.09,37.16,41.29,13.07,4.13,17.2
Veh_33,26.28,37.52,42.6,11.24,5.08,16.33
Veh_34,28.48,41.29,46.58,12.81,5.29,18.1
Veh_35,31.75,42.6,47.22,10.86,4.62,15.48
Veh_38,33.73,47.22,50.12,13.49,2.89,16.39
Veh_36,32.15,46.58,50.81,14.43,4.23,18.66
Veh_42,37.77,50.81,54.0,13.03,3.19,16.23
Veh_40,35.31,50.12,54.38,14.81,4.26,19.07
Veh_47,41.73,54.38,60.07,12.66,5.68,18.34
Veh_43,38.18,54.0,61.06,15.82,7.06,22.88
Veh_48,47.31,60.07,63.76,12.76,3.69,16.44
Veh_49,48.23,61.06,64.51,12.83,3.45,16.28
Veh_52,50.97,64.51,65.51,13.55,1.0,14.55
Veh_50,48.29,63.76,69.69,15.46,5.93,21.39
Veh_53,51.39,65.51,71.18,14.12,5.67,19.79
Veh_54,54.25,69.69,71.75,15.44,2.06,17.5
Veh_55,56.55,71.18,73.75,14.63,2.57,17.21
Veh_61,60.65,71.75,77.63,11.09,5.88,16.98
Veh_63,61.12,73.75,78.32,12.63,4.56,17.19
Veh_66,64.13,77.63,81.48,13.51,3.84,17.35
Veh_67,64.72,78.32,82.52,13.59,4.21,17.8
Veh_74,69.77,82.52,83.52,12.76,1.0,13.76
Veh_75,71.48,83.52,87.17,12.05,3.64,15.69
Veh_69,65.94,81.48,87.68,15.54,6.21,21.74
Veh_77,74.19,87.68,92.06,13.49,4.37,17.86
Veh_76,73.68,87.17,94.58,13.49,7.41,20.9
Veh_82,78.08,92.06,97.12,13.98,5.06,19.04
Veh_83,79.38,94.58,98.05,15.2,3.47,18.67
Veh_85,81.85,97.12,100.46,15.27,3.35,18.61
Veh_86,85.19,98.05,101.21,12.86,3.17,16.02
Veh_90,88.71,101.21,105.19,12.51,3.97,16.48
Veh_87,85.27,100.46,106.01,15.19,5.55,20.74
Veh_93,93.09,106.01,108.23,12.92,2.22,15.14
Veh_91,90.36,105.19,108.8,14.83,3.61,18.44
Veh_95,94.74,108.23,110.55,13.49,2.32,15.81
Veh_97,97.27,108.8,113.14,11.53,4.34,15.87
Veh_100,98.4,110.55,114.11,12.15,3.56,15.71
Veh_104,100.95,113.14,116.78,12.19,3.64,15.83
Veh_105,102.3,114.11,120.41,11.81,6.3,18.11
Veh_107,107.22,116.78,121.75,9.56,4.96,14.53
Veh_109,110.09,121.75,122.75,11.65,1.0,12.65
Veh_108,108.95,120.41,125.04,11.46,4.63,16.09
Veh_110,110.39,122.75,126.66,12.36,3.92,16.28
Veh_111,111.83,125.04,129.23,13.22,4.19,17.4
Veh_114,114.91,126.66,131.0,11.75,4.34,16.09
Veh_115,115.77,129.23,134.16,13.46,4.93,18.39
Veh_118,117.75,131.0,137.79,13.25,6.79,20.04
Veh_122,120.8,134.16,139.6,13.36,5.44,18.8
Veh_124,123.95,137.79,142.38,13.84,4.59,18.43
Veh_126,127.24,142.38,146.15,15.15,3.77,18.91
Veh_127,127.35,146.15,147.21,18.8,1.06,19.86
Veh_125,125.67,139.6,148.23,13.93,8.62,22.55
Veh_132,129.92,147.21,151.38,17.29,4.17,21.46
Veh_133,132.8,148.23,151.85,15.43,3.62,19.05
Veh_136,135.05,151.38,156.72,16.33,5.34,21.67
Veh_140,138.08,151.85,156.77,13.77,4.92,18.69
Veh_142,139.89,156.72,159.39,16.83,2.66,19.5
Veh_149,147.16,159.39,160.97,12.23,1.59,13.81
Veh_144,142.87,156.77,162.99,13.9,6.23,20.12
Veh_150,147.64,160.97,165.98,13.33,5.01,18.34
Veh_151,148.83,162.99,168.17,14.17,5.18,19.34
Veh_155,151.81,165.98,169.37,14.18,3.39,17.57
Veh_158,157.21,169.37,175.97,12.16,6.59,18.75
Veh_156,152.2,168.17,175.98,15.96,7.81,23.77
Veh_162,162.16,175.98,178.61,13.82,2.63,16.45
Veh_159,158.18,175.97,179.02,17.79,3.06,20.84
Veh_163,162.8,178.61,181.49,15.81,2.88,18.69
Veh_165,168.98,181.49,183.18,12.51,1.69,14.2
Veh_164,168.28,179.02,185.13,10.75,6.1,16.85
Veh_166,170.95,183.18,186.6,12.23,3.42,15.65
Veh_167,173.48,185.13,190.14,11.65,5.01,16.66
Veh_171,176.76,186.6,190.21,9.84,3.61,13.45
Veh_172,179.49,190.14,194.37,10.65,4.23,14.88
Veh_173,179.93,190.21,196.62,10.28,6.41,16.69
Veh_174,180.79,194.37,199.41,13.58,5.04,18.62
Veh_177,181.59,196.62,200.63,15.03,4.01,19.05
Veh_180,185.22,200.63,203.62,15.41,2.99,18.39
Veh_178,183.84,199.41,205.42,15.57,6.02,21.58
Veh_185,190.31,205.42,206.42,15.11,1.0,16.11
Veh_186,191.36,206.42,208.41,15.06,1.99,17.05
Veh_181,187.09,203.62,208.68,16.52,5.07,21.59
Veh_191,196.75,208.68,213.12,11.93,4.44,16.37
Veh_190,195.93,208.41,214.7,12.48,6.28,18.76
Veh_197,200.0,213.12,217.42,13.12,4.3,17.42
Veh_198,200.82,214.7,220.29,13.88,5.59,19.47
Veh_203,203.94,217.42,221.58,13.48,4.16,17.64
Veh_204,205.59,220.29,224.28,14.7,4.0,18.7
Veh_206,207.48,221.58,226.03,14.1,4.45,18.55
Veh_207,208.94,224.28,228.32,15.34,4.04,19.38
Veh_208,210.04,226.03,229.14,15.99,3.11,19.1
Veh_214,214.94,229.14,233.17,14.2,4.02,18.22
Veh_212,213.34,228.32,233.37,14.99,5.04,20.03
Veh_216,217.56,233.17,236.92,15.61,3.76,19.37
Veh_219,220.6,233.37,237.1,12.77,3.73,16.5
Veh_221,222.06,236.92,239.07,14.86,2.15,17.01
Veh_223,225.24,237.1,241.26,11.86,4.16,16.01
Veh_227,228.81,241.26,244.16,12.45,2.9,15.35
Veh_225,226.99,239.07,246.69,12.08,7.62,19.7
Veh_229,229.59,244.16,249.24,14.57,5.08,19.65
Veh_233,233.49,246.69,251.03,13.2,4.35,17.55
Veh_239,237.16,251.03,253.61,13.88,2.57,16.45
Veh_234,233.99,249.24,254.3,15.24,5.07,20.31
Veh_240,238.44,253.61,256.33,15.16,2.72,17.88
Veh_241,241.11,254.3,259.65,13.19,5.35,18.55
Veh_242,242.08,256.33,260.42,14.25,4.09,18.34
Veh_246,248.69,260.42,262.79,11.73,2.38,14.11
Veh_248,249.49,262.79,265.65,13.3,2.86,16.16
Veh_245,246.12,259.65,266.4,13.53,6.74,20.28
Veh_250,255.14,265.65,270.42,10.51,4.77,15.28
Veh_251,256.0,266.4,271.05,10.4,4.65,15.05
Veh_252,256.29,270.42,272.95,14.13,2.53,16.66
Veh_253,260.11,271.05,274.06,10.94,3.01,13.95
Veh_254,260.79,272.95,275.35,12.16,2.4,14.56
