ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,5.27,5.27,9.45,0.0,4.19,4.19
Veh_2,9.28,9.28,12.27,0.0,3.0,3.0
Veh_3,13.77,13.77,16.27,0.0,2.5,2.5
Veh_4,19.51,19.51,23.55,0.0,4.04,4.04
Veh_5,24.01,24.01,28.37,0.0,4.36,4.36
Veh_6,29.0,29.0,32.93,0.0,3.94,3.94
Veh_7,33.44,33.44,37.86,0.0,4.41,4.41
Veh_8,37.9,37.9,41.66,0.0,3.75,3.75
Veh_9,43.67,43.67,50.4,0.0,6.72,6.72
Veh_10,48.83,48.83,52.72,0.0,3.89,3.89
Veh_11,53.05,53.05,56.94,0.0,3.9,3.9
