ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,3.75,3.75,9.53,0.0,5.78,5.78
Veh_2,8.65,8.65,13.98,0.0,5.33,5.33
Veh_3,11.96,11.96,15.8,0.0,3.83,3.83
Veh_4,15.08,15.08,21.29,0.0,6.21,6.21
Veh_5,18.12,18.12,22.42,0.0,4.3,4.3
Veh_6,22.78,22.78,25.65,0.0,2.87,2.87
Veh_7,26.83,26.83,30.62,0.0,3.78,3.78
Veh_8,30.42,30.42,34.29,0.0,3.88,3.88
Veh_9,34.15,34.15,36.89,0.0,2.74,2.74
Veh_10,38.06,38.06,43.78,0.0,5.72,5.72
Veh_11,41.15,41.15,43.93,0.0,2.78,2.78
Veh_12,45.37,45.37,50.01,0.0,4.64,4.64
Veh_13,49.25,49.25,53.61,0.0,4.36,4.36
Veh_14,52.49,52.49,57.49,0.0,4.99,4.99
Veh_15,56.82,56.82,58.73,0.0,1.91,1.91
Veh_16,60.86,60.86,64.6,0.0,3.74,3.74
Veh_17,65.41,65.41,71.3,0.0,5.89,5.89
Veh_18,70.2,70.2,75.4,0.0,5.21,5.21
Veh_19,73.59,73.59,75.88,0.0,2.29,2.29
Veh_20,76.68,76.68,79.78,0.0,3.1,3.1
Veh_21,80.39,80.39,85.78,0.0,5.39,5.39
Veh_22,84.48,84.48,87.52,0.0,3.04,3.04
Veh_23,89.45,89.45,95.69,0.0,6.24,6.24
Veh_24,92.85,92.85,98.97,0.0,6.12,6.12
Veh_25,97.39,97.39,100.58,0.0,3.19,3.19
Veh_26,101.11,101.11,105.93,0.0,4.82,4.82
Veh_27,104.76,104.76,109.26,0.0,4.5,4.5
Veh_28,109.22,109.22,113.08,0.0,3.86,3.86
Veh_29,112.46,112.46,117.75,0.0,5.29,5.29
Veh_30,116.98,116.98,122.39,0.0,5.41,5.41
Veh_31,121.03,121.03,124.63,0.0,3.6,3.6
Veh_32,124.24,124.24,127.38,0.0,3.14,3.14
Veh_33,127.87,127.87,134.64,0.0,6.77,6.77
Veh_34,131.37,131.37,135.75,0.0,4.38,4.38
Veh_35,134.83,134.83,140.93,0.0,6.1,6.1
Veh_36,138.15,138.15,142.04,0.0,3.89,3.89
Veh_37,142.76,142.76,146.91,0.0,4.16,4.16
Veh_38,146.84,146.84,149.94,0.0,3.11,3.11
Veh_39,150.69,150.69,154.2,0.0,3.51,3.51
Veh_40,155.41,155.41,160.13,0.0,4.72,4.72
Veh_41,158.86,158.86,162.16,0.0,3.31,3.31
Veh_42,162.53,162.53,168.02,0.0,5.48,5.48
Veh_43,166.94,166.94,169.63,0.0,2.7,2.7
Veh_44,171.88,171.88,176.85,0.0,4.97,4.97
Veh_45,174.95,174.95,177.66,0.0,2.71,2.71
