ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,5.92,5.92,10.17,0.0,4.26,4.26
Veh_2,11.59,11.59,16.31,0.0,4.72,4.72
Veh_3,16.6,16.6,20.87,0.0,4.27,4.27
Veh_4,21.24,21.24,26.1,0.0,4.85,4.85
Veh_5,26.26,26.26,30.7,0.0,4.44,4.44
Veh_6,30.44,30.44,33.02,0.0,2.58,2.58
Veh_7,36.29,36.29,39.72,0.0,3.43,3.43
Veh_8,41.71,41.71,48.55,0.0,6.84,6.84
Veh_9,46.89,46.89,49.04,0.0,2.16,2.16
Veh_10,51.27,51.27,55.08,0.0,3.81,3.81
Veh_11,55.34,55.34,59.9,0.0,4.56,4.56
Veh_12,59.99,59.99,64.77,0.0,4.78,4.78
Veh_13,64.5,64.5,68.27,0.0,3.77,3.77
Veh_14,70.11,70.11,72.57,0.0,2.46,2.46
Veh_15,76.07,76.07,81.55,0.0,5.48,5.48
Veh_16,81.87,81.87,85.55,0.0,3.68,3.68
Veh_17,87.34,87.34,91.13,0.0,3.8,3.8
Veh_18,92.07,92.07,98.17,0.0,6.1,6.1
Veh_19,97.19,97.19,100.83,0.0,3.64,3.64
Veh_20,101.7,101.7,106.74,0.0,5.04,5.04
Veh_21,105.76,105.76,111.25,0.0,5.49,5.49
Veh_22,110.63,110.63,116.06,0.0,5.42,5.42
Veh_23,116.23,116.23,121.61,0.0,5.39,5.39
Veh_24,120.8,120.8,123.0,0.0,2.2,2.2
Veh_25,125.26,125.26,131.4,0.0,6.15,6.15
Veh_26,129.72,129.72,134.83,0.0,5.11,5.11
Veh_27,134.93,134.93,140.31,0.0,5.38,5.38
Veh_28,140.28,140.28,143.14,0.0,2.85,2.85
Veh_29,144.52,144.52,149.94,0.0,5.42,5.42
Veh_30,148.89,148.89,152.13,0.0,3.24,3.24
Veh_31,154.23,154.23,159.8,0.0,5.57,5.57
Veh_32,158.67,158.67,163.63,0.0,4.95,4.95
Veh_33,164.66,164.66,167.58,0.0,2.92,2.92
Veh_34,169.11,169.11,173.12,0.0,4.01,4.01
Veh_35,173.82,173.82,177.09,0.0,3.27,3.27
