ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_2,1.1,1.1,5.07,0.0,3.97,3.97
Veh_1,0.67,0.67,5.48,0.0,4.81,4.81
Veh_4,7.05,7.05,9.26,0.0,2.21,2.21
Veh_3,2.05,5.07,10.5,3.02,5.43,8.45
Veh_5,10.14,10.14,13.54,0.0,3.4,3.4
Veh_6,12.52,12.52,17.42,0.0,4.89,4.89
Veh_7,14.59,14.59,17.77,0.0,3.18,3.18
Veh_8,15.21,17.42,21.1,2.21,3.68,5.89
Veh_9,15.57,17.77,22.12,2.2,4.35,6.55
Veh_10,15.7,21.1,23.58,5.4,2.48,7.88
Veh_11,16.56,22.12,24.81,5.57,2.69,8.25
Veh_12,18.32,23.58,26.68,5.26,3.1,8.36
Veh_13,20.41,24.81,27.43,4.4,2.62,7.02
Veh_15,22.61,27.43,30.19,4.81,2.77,7.58
Veh_14,22.14,26.68,31.74,4.54,5.06,9.6
Veh_17,23.46,31.74,32.74,8.28,1.0,9.28
Veh_16,23.44,30.19,35.88,6.75,5.68,12.44
Veh_18,24.03,32.74,37.35,8.71,4.61,13.32
Veh_19,24.06,35.88,41.05,11.81,5.18,16.99
Veh_20,24.52,37.35,41.26,12.83,3.91,16.74
Veh_21,25.99,41.05,43.96,15.06,2.91,17.97
Veh_22,26.62,41.26,46.47,14.64,5.21,19.85
Veh_23,27.97,43.96,48.56,15.99,4.6,20.59
Veh_25,31.06,48.56,49.56,17.5,1.0,18.5
Veh_24,29.13,46.47,50.64,17.34,4.17,21.5
Veh_26,31.2,49.56,54.28,18.35,4.72,23.08
Veh_27,32.24,50.64,54.64,18.4,4.0,22.4
Veh_28,32.61,54.28,56.78,21.68,2.5,24.18
Veh_29,33.82,54.64,61.38,20.81,6.75,27.56
Veh_30,33.83,56.78,61.74,22.96,4.96,27.91
Veh_32,37.78,61.38,62.38,23.61,1.0,24.61
Veh_36,42.38,62.38,66.6,20.0,4.22,24.22
Veh_33,37.85,61.74,68.7,23.89,6.97,30.85
Veh_37,46.06,66.6,71.76,20.54,5.15,25.7
Veh_39,47.56,71.76,72.76,24.19,1.0,25.19
Veh_38,46.45,68.7,73.72,22.26,5.02,27.27
Veh_42,51.84,73.72,77.27,21.88,3.55,25.43
Veh_43,52.0,77.27,78.71,25.27,1.43,26.71
Veh_41,49.5,72.76,78.76,23.26,6.0,29.26
Veh_48,57.49,78.76,83.4,21.27,4.64,25.91
Veh_47,56.73,78.71,84.57,21.98,5.86,27.84
