ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,3.03,3.03,4.89,0.0,1.86,1.86
Veh_2,3.72,3.72,8.55,0.0,4.83,4.83
Veh_3,6.36,6.36,11.62,0.0,5.27,5.27
Veh_4,6.72,8.55,13.85,1.84,5.29,7.13
Veh_5,7.19,11.62,16.33,4.43,4.7,9.13
Veh_7,10.09,16.33,20.21,6.24,3.88,10.12
Veh_6,9.81,13.85,20.68,4.03,6.83,10.87
Veh_8,10.59,20.21,21.21,9.62,1.0,10.62
Veh_9,11.14,20.68,23.62,9.54,2.94,12.48
Veh_10,11.79,21.21,24.15,9.42,2.94,12.36
Veh_12,13.12,24.15,27.39,11.03,3.24,14.27
Veh_11,13.09,23.62,27.61,10.53,3.99,14.52
Veh_13,15.45,27.39,30.57,11.94,3.18,15.12
Veh_15,15.91,30.57,33.42,14.66,2.85,17.51
Veh_14,15.47,27.61,33.94,12.15,6.32,18.47
Veh_17,19.52,33.94,36.23,14.41,2.3,16.71
Veh_16,18.36,33.42,38.93,15.07,5.51,20.57
Veh_18,19.69,36.23,39.64,16.55,3.41,19.95
Veh_19,20.44,38.93,41.52,18.49,2.59,21.07
Veh_20,22.17,39.64,42.43,17.47,2.79,20.26
Veh_22,23.85,42.43,44.74,18.57,2.31,20.89
Veh_21,23.07,41.52,46.59,18.45,5.07,23.52
Veh_23,24.09,44.74,48.77,20.65,4.04,24.69
Veh_24,24.43,46.59,51.57,22.16,4.98,27.14
Veh_31,27.64,48.77,54.65,21.13,5.88,27.01
Veh_32,28.54,51.57,57.39,23.03,5.83,28.86
Veh_35,31.08,54.65,57.6,23.57,2.94,26.51
Veh_43,33.99,57.39,59.96,23.4,2.56,25.96
Veh_44,34.02,57.6,60.7,23.58,3.11,26.69
Veh_51,42.45,60.7,62.83,18.25,2.12,20.37
Veh_52,42.9,62.83,65.85,19.93,3.02,22.95
Veh_47,36.3,59.96,66.29,23.65,6.34,29.99
Veh_53,43.08,65.85,68.64,22.77,2.8,25.57
Veh_54,43.46,66.29,71.94,22.83,5.65,28.48
Veh_55,44.96,68.64,72.16,23.68,3.51,27.2
Veh_56,48.34,71.94,73.89,23.6,1.95,25.55
Veh_57,49.06,72.16,76.35,23.1,4.19,27.3
Veh_62,51.89,73.89,77.34,22.0,3.45,25.45
Veh_67,55.07,76.35,81.88,21.28,5.52,26.81
Veh_72,57.93,77.34,82.11,19.41,4.77,24.18
Veh_73,60.18,81.88,84.53,21.7,2.65,24.35
Veh_74,60.43,82.11,86.82,21.68,4.71,26.39
Veh_77,63.85,86.82,88.33,22.97,1.51,24.48
Veh_75,60.75,84.53,89.14,23.78,4.61,28.39
Veh_78,65.94,88.33,92.37,22.39,4.04,26.42
Veh_80,67.94,89.14,94.56,21.2,5.42,26.62
Veh_82,70.39,92.37,98.08,21.97,5.71,27.68
Veh_84,72.72,94.56,99.05,21.84,4.49,26.33
Veh_85,73.62,98.08,101.17,24.46,3.09,27.55
Veh_86,74.14,99.05,103.0,24.91,3.94,28.86
Veh_90,79.33,103.0,105.86,23.67,2.86,26.53
Veh_89,77.51,101.17,107.34,23.67,6.17,29.83
Veh_91,83.78,105.86,110.85,22.08,4.99,27.07
Veh_92,83.81,107.34,112.99,23.53,5.65,29.18
Veh_95,86.9,110.85,114.0,23.95,3.15,27.1
Veh_96,87.94,112.99,117.75,25.05,4.76,29.82
Veh_98,88.52,114.0,118.35,25.48,4.35,29.83
Veh_100,92.58,117.75,120.76,25.18,3.01,28.19
Veh_101,93.3,118.35,122.18,25.05,3.83,28.88
Veh_105,95.46,120.76,123.55,25.31,2.79,28.1
Veh_112,99.52,123.55,128.08,24.04,4.53,28.57
Veh_110,98.12,122.18,128.49,24.06,6.31,30.37
Veh_119,103.61,128.49,130.34,24.88,1.85,26.73
Veh_115,101.55,128.08,132.4,26.54,4.32,30.85
Veh_126,107.35,132.4,133.4,25.05,1.0,26.05
Veh_124,105.92,130.34,133.77,24.42,3.43,27.85
Veh_134,114.91,133.77,136.89,18.85,3.12,21.97
Veh_133,111.01,133.4,139.79,22.39,6.39,28.79
Veh_135,116.75,136.89,140.71,20.14,3.83,23.96
Veh_137,118.06,139.79,141.35,21.73,1.56,23.28
Veh_139,118.7,140.71,142.68,22.01,1.97,23.98
Veh_143,121.7,141.35,144.61,19.65,3.26,22.91
Veh_144,122.2,142.68,147.0,20.48,4.33,24.81
Veh_145,124.24,144.61,149.34,20.36,4.73,25.1
Veh_153,129.69,147.0,151.98,17.32,4.97,22.29
Veh_154,129.69,149.34,154.69,19.65,5.35,25.0
Veh_158,130.87,151.98,155.74,21.11,3.77,24.88
Veh_159,133.71,154.69,157.6,20.98,2.91,23.89
Veh_160,134.36,155.74,160.03,21.38,4.29,25.67
Veh_161,134.45,157.6,160.1,23.15,2.5,25.65
Veh_166,137.97,160.03,162.55,22.06,2.52,24.58
Veh_167,141.21,160.1,163.3,18.89,3.2,22.08
Veh_168,141.85,162.55,166.33,20.7,3.78,24.48
Veh_169,142.75,163.3,168.42,20.55,5.13,25.67
Veh_170,143.69,166.33,169.59,22.64,3.25,25.9
Veh_173,147.23,169.59,171.93,22.36,2.34,24.7
Veh_171,145.63,168.42,172.62,22.79,4.2,26.99
Veh_183,152.42,172.62,178.33,20.2,5.7,25.9
Veh_179,149.36,171.93,178.78,22.57,6.86,29.42
Veh_188,156.26,178.78,183.62,22.53,4.83,27.36
Veh_185,154.95,178.33,183.84,23.38,5.51,28.89
Veh_190,157.99,183.62,188.49,25.63,4.88,30.51
Veh_193,160.78,183.84,190.28,23.05,6.45,29.5
Veh_197,163.48,190.28,191.85,26.8,1.57,28.37
Veh_194,161.01,188.49,193.78,27.49,5.29,32.78
Veh_202,170.4,193.78,197.04,23.38,3.25,26.63
Veh_198,163.49,191.85,197.36,28.36,5.51,33.87
Veh_204,171.58,197.36,200.99,25.78,3.63,29.41
Veh_203,171.02,197.04,201.2,26.01,4.16,30.18
Veh_205,172.52,200.99,203.45,28.47,2.46,30.93
Veh_212,178.66,203.45,205.63,24.8,2.18,26.97
Veh_206,173.65,201.2,207.37,27.55,6.18,33.72
Veh_213,179.55,205.63,210.73,26.08,5.1,31.18
Veh_220,184.44,207.37,213.04,22.94,5.67,28.6
Veh_221,184.66,210.73,214.98,26.07,4.25,30.32
Veh_226,189.05,213.04,219.18,23.99,6.14,30.13
Veh_230,191.14,214.98,221.82,23.84,6.84,30.68
Veh_231,192.07,219.18,222.84,27.11,3.65,30.76
Veh_234,193.97,221.82,225.68,27.85,3.86,31.71
Veh_238,198.7,222.84,226.16,24.14,3.32,27.46
Veh_239,200.81,225.68,229.08,24.88,3.4,28.27
Veh_240,201.06,226.16,231.61,25.09,5.46,30.55
Veh_241,201.68,229.08,232.06,27.4,2.98,30.38
Veh_245,204.01,231.61,236.44,27.6,4.83,32.43
Veh_250,206.05,232.06,237.55,26.01,5.5,31.5
Veh_253,208.84,236.44,239.99,27.61,3.55,31.16
Veh_255,211.91,237.55,240.57,25.64,3.02,28.66
Veh_256,213.07,239.99,243.04,26.93,3.05,29.97
Veh_258,216.11,240.57,243.6,24.47,3.03,27.5
Veh_262,219.18,243.04,248.05,23.86,5.0,28.86
Veh_265,222.52,243.6,248.7,21.09,5.1,26.18
Veh_270,226.07,248.7,252.86,22.63,4.16,26.79
Veh_267,223.92,248.05,254.64,24.13,6.59,30.72
Veh_272,226.79,252.86,256.65,26.06,3.79,29.85
Veh_277,229.41,254.64,260.71,25.23,6.07,31.3
Veh_281,231.67,256.65,260.91,24.98,4.26,29.24
Veh_282,232.28,260.71,264.91,28.43,4.2,32.63
Veh_293,236.88,260.91,265.82,24.03,4.91,28.94
Veh_294,237.86,264.91,268.37,27.05,3.46,30.51
Veh_300,240.0,265.82,269.81,25.83,3.98,29.81
Veh_301,240.73,268.37,272.36,27.64,3.99,31.63
Veh_304,243.7,269.81,274.43,26.11,4.62,30.73
Veh_305,244.68,272.36,274.74,27.69,2.37,30.06
Veh_309,249.02,274.74,278.16,25.72,3.42,29.14
Veh_308,248.26,274.43,278.18,26.16,3.75,29.92
Veh_317,255.92,278.18,281.85,22.26,3.67,25.93
Veh_315,254.33,278.16,282.46,23.83,4.3,28.13
Veh_318,256.92,281.85,288.26,24.93,6.41,31.33
Veh_324,263.98,282.46,289.08,18.48,6.62,25.1
Veh_325,263.99,288.26,291.51,24.26,3.25,27.52
Veh_327,264.97,289.08,293.31,24.11,4.22,28.33
Veh_329,269.92,291.51,297.13,21.58,5.63,27.21
Veh_330,273.27,293.31,298.81,20.04,5.5,25.54
Veh_331,273.51,297.13,301.11,23.62,3.97,27.59
Veh_332,273.77,298.81,302.58,25.04,3.77,28.81
Veh_333,274.81,301.11,307.27,26.3,6.16,32.46
Veh_334,278.47,302.58,308.99,24.11,6.41,30.52
Veh_335,280.8,307.27,311.35,26.47,4.08,30.56
Veh_336,280.84,308.99,313.49,28.15,4.5,32.65
Veh_337,282.03,311.35,316.76,29.32,5.41,34.73
Veh_338,283.1,313.49,317.96,30.4,4.47,34.86
Veh_347,288.63,316.76,320.81,28.13,4.05,32.18
Veh_348,290.63,317.96,322.74,27.33,4.78,32.11
Veh_351,291.83,320.81,326.82,28.98,6.01,34.99
Veh_356,293.98,322.74,328.01,28.77,5.26,34.03
Veh_364,298.02,326.82,330.86,28.81,4.04,32.85
Veh_365,298.83,328.01,332.33,29.18,4.33,33.5
Veh_371,303.93,332.33,334.01,28.4,1.67,30.08
Veh_370,303.03,330.86,336.54,27.83,5.68,33.51
Veh_375,308.62,334.01,340.14,25.39,6.13,31.52
Veh_377,310.5,336.54,340.41,26.04,3.87,29.91
Veh_384,313.52,340.41,345.09,26.89,4.68,31.57
Veh_380,311.75,340.14,345.34,28.39,5.2,33.59
Veh_389,319.45,345.34,349.2,25.89,3.86,29.75
Veh_391,321.86,349.2,350.92,27.34,1.72,29.06
Veh_388,319.23,345.09,351.9,25.86,6.81,32.67
Veh_394,322.86,350.92,354.49,28.05,3.57,31.63
Veh_399,328.86,351.9,356.36,23.04,4.46,27.5
Veh_403,331.88,356.36,357.82,24.48,1.46,25.94
Veh_400,329.24,354.49,358.99,25.25,4.5,29.76
Veh_404,333.47,357.82,359.26,24.35,1.44,25.79
