ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,0.62,0.62,4.73,0.0,4.11,4.11
Veh_3,4.25,4.73,9.53,0.48,4.8,5.27
Veh_2,2.8,2.8,10.62,0.0,7.82,7.82
Veh_4,4.28,9.53,13.53,5.25,4.0,9.25
Veh_5,4.29,10.62,16.4,6.32,5.79,12.11
Veh_6,4.6,13.53,20.93,8.93,7.41,16.33
Veh_7,4.9,16.4,21.15,11.5,4.74,16.24
Veh_8,5.54,20.93,24.96,15.4,4.03,19.43
Veh_9,5.61,21.15,26.68,15.54,5.53,21.07
Veh_11,8.37,26.68,29.98,18.31,3.3,21.61
Veh_10,7.16,24.96,31.63,17.8,6.67,24.47
Veh_13,8.87,31.63,35.11,22.76,3.49,26.24
Veh_14,12.5,35.11,36.11,22.61,1.0,23.61
Veh_12,8.84,29.98,36.44,21.14,6.46,27.6
Veh_16,14.35,36.44,40.54,22.09,4.1,26.19
Veh_15,13.4,36.11,41.17,22.71,5.06,27.77
Veh_17,15.98,40.54,43.49,24.56,2.95,27.51
Veh_18,19.54,41.17,45.8,21.63,4.64,26.26
Veh_19,20.99,43.49,48.05,22.5,4.56,27.07
Veh_20,21.01,45.8,49.93,24.79,4.13,28.92
Veh_21,23.55,48.05,53.61,24.5,5.56,30.06
Veh_22,24.04,49.93,54.03,25.89,4.09,29.98
Veh_24,27.78,54.03,58.21,26.25,4.18,30.44
Veh_23,25.48,53.61,58.35,28.13,4.74,32.87
Veh_25,29.01,58.21,62.55,29.2,4.34,33.54
Veh_26,29.54,58.35,64.83,28.81,6.48,35.29
Veh_27,30.71,62.55,67.59,31.84,5.04,36.88
Veh_28,31.43,64.83,70.81,33.4,5.97,39.37
Veh_29,33.64,67.59,73.05,33.95,5.46,39.41
Veh_30,34.74,70.81,75.4,36.07,4.59,40.66
Veh_31,35.47,73.05,79.27,37.58,6.22,43.79
