ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,1.56,1.56,5.1,0.0,3.55,3.55
Veh_2,3.01,3.01,7.44,0.0,4.43,4.43
Veh_3,3.49,5.1,7.8,1.62,2.69,4.31
Veh_4,7.48,7.48,8.92,0.0,1.45,1.45
Veh_5,9.21,9.21,12.78,0.0,3.58,3.58
Veh_6,12.45,12.45,17.29,0.0,4.84,4.84
Veh_7,12.62,12.78,18.13,0.16,5.35,5.51
Veh_8,15.11,17.29,21.11,2.18,3.83,6.01
Veh_9,16.97,18.13,21.13,1.16,3.0,4.16
Veh_10,18.85,21.11,24.29,2.26,3.18,5.44
Veh_11,19.75,21.13,26.42,1.37,5.29,6.67
Veh_12,20.45,24.29,30.78,3.84,6.49,10.33
Veh_13,21.23,26.42,32.17,5.19,5.75,10.94
Veh_14,21.96,30.78,35.41,8.83,4.63,13.46
Veh_15,22.55,32.17,35.96,9.63,3.79,13.42
Veh_17,25.8,35.96,38.46,10.16,2.5,12.66
Veh_16,23.21,35.41,38.94,12.2,3.53,15.73
Veh_18,28.73,38.46,39.66,9.74,1.2,10.93
Veh_19,29.66,38.94,42.84,9.29,3.89,13.18
Veh_20,29.94,39.66,42.89,9.72,3.23,12.95
Veh_23,31.55,42.84,46.46,11.28,3.62,14.91
Veh_24,32.25,42.89,46.6,10.64,3.71,14.35
Veh_26,35.72,46.46,49.66,10.74,3.2,13.94
Veh_27,36.79,46.6,50.19,9.81,3.59,13.4
Veh_32,38.5,49.66,54.24,11.16,4.58,15.74
Veh_33,39.8,50.19,55.96,10.39,5.77,16.16
Veh_34,41.58,54.24,58.09,12.67,3.84,16.51
Veh_36,43.24,55.96,60.56,12.73,4.6,17.33
Veh_37,43.51,58.09,64.56,14.58,6.47,21.05
Veh_41,46.66,60.56,65.99,13.9,5.43,19.32
Veh_42,48.26,64.56,67.59,16.3,3.03,19.33
Veh_43,50.32,65.99,68.67,15.67,2.68,18.35
Veh_44,50.85,67.59,71.45,16.74,3.86,20.6
Veh_46,55.43,68.67,72.96,13.24,4.29,17.53
Veh_47,56.29,71.45,73.13,15.16,1.68,16.84
Veh_49,62.17,72.96,77.53,10.79,4.57,15.36
Veh_50,63.99,73.13,78.6,9.14,5.46,14.6
Veh_54,66.91,78.6,82.66,11.68,4.06,15.74
Veh_53,66.8,77.53,82.79,10.73,5.26,15.99
Veh_56,69.49,82.79,86.7,13.3,3.91,17.22
Veh_55,67.89,82.66,88.79,14.77,6.13,20.9
Veh_57,75.81,86.7,89.6,10.89,2.89,13.79
Veh_58,76.13,88.79,93.38,12.66,4.58,17.25
Veh_60,78.29,93.38,95.01,15.08,1.63,16.71
Veh_59,76.27,89.6,96.15,13.33,6.56,19.88
Veh_61,80.89,95.01,98.89,14.12,3.88,18.0
Veh_65,84.0,98.89,101.25,14.89,2.36,17.25
Veh_64,82.81,96.15,101.5,13.35,5.35,18.7
Veh_67,90.47,101.25,103.32,10.78,2.07,12.85
Veh_68,90.68,101.5,105.94,10.82,4.44,15.26
Veh_69,90.7,103.32,106.16,12.62,2.84,15.45
Veh_71,99.02,106.16,109.21,7.14,3.05,10.19
Veh_70,96.89,105.94,110.56,9.05,4.61,13.67
Veh_72,105.82,109.21,112.54,3.39,3.34,6.72
Veh_73,109.68,110.56,114.39,0.88,3.84,4.71
Veh_74,112.61,112.61,116.79,0.0,4.18,4.18
Veh_75,112.87,114.39,118.01,1.53,3.62,5.14
Veh_77,113.74,118.01,120.28,4.27,2.27,6.54
Veh_76,113.5,116.79,121.1,3.29,4.31,7.6
Veh_78,115.55,120.28,122.95,4.73,2.67,7.4
Veh_80,118.1,122.95,124.87,4.85,1.92,6.77
Veh_79,116.16,121.1,126.87,4.94,5.77,10.71
Veh_82,119.6,126.87,128.85,7.27,1.98,9.25
Veh_81,119.41,124.87,130.94,5.46,6.07,11.53
Veh_83,120.07,128.85,132.66,8.79,3.81,12.6
Veh_85,120.92,132.66,136.25,11.75,3.58,15.33
Veh_84,120.46,130.94,136.34,10.48,5.39,15.88
Veh_87,124.05,136.34,137.42,12.29,1.08,13.37
Veh_86,123.81,136.25,140.29,12.44,4.05,16.49
Veh_88,126.98,137.42,141.36,10.44,3.94,14.38
Veh_90,130.53,141.36,144.06,10.83,2.7,13.53
Veh_89,129.9,140.29,145.32,10.4,5.02,15.42
Veh_91,131.77,144.06,148.19,12.29,4.12,16.42
Veh_93,132.89,145.32,150.74,12.42,5.43,17.85
Veh_95,139.66,148.19,152.63,8.53,4.44,12.97
Veh_96,141.07,150.74,154.31,9.67,3.56,13.24
Veh_98,142.19,154.31,156.74,12.12,2.43,14.55
Veh_97,141.5,152.63,157.22,11.12,4.6,15.72
Veh_99,143.76,156.74,163.26,12.98,6.51,19.49
Veh_100,144.3,157.22,163.46,12.92,6.24,19.16
Veh_103,147.47,163.26,166.46,15.79,3.2,18.99
Veh_108,151.58,166.46,168.18,14.88,1.72,16.6
Veh_105,149.95,163.46,168.38,13.51,4.92,18.43
Veh_109,154.21,168.18,171.79,13.97,3.61,17.58
Veh_110,155.0,168.38,174.36,13.38,5.98,19.36
Veh_112,156.75,171.79,175.54,15.03,3.75,18.78
Veh_113,157.31,174.36,179.51,17.05,5.15,22.2
