ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,0.06,0.06,2.25,0.0,2.19,2.19
Veh_3,3.24,3.24,5.56,0.0,2.32,2.32
Veh_4,4.02,5.56,9.31,1.54,3.75,5.29
Veh_2,3.22,3.22,9.32,0.0,6.09,6.09
Veh_6,4.66,9.32,12.0,4.66,2.69,7.35
Veh_5,4.64,9.31,14.4,4.67,5.09,9.76
Veh_7,4.73,12.0,16.8,7.27,4.79,12.07
Veh_8,5.91,14.4,18.34,8.5,3.94,12.44
Veh_9,6.06,16.8,21.55,10.73,4.75,15.48
Veh_10,9.93,18.34,22.79,8.42,4.44,12.86
Veh_11,11.81,21.55,26.19,9.74,4.65,14.39
Veh_12,13.3,22.79,28.51,9.48,5.73,15.21
Veh_13,14.14,26.19,30.39,12.05,4.2,16.25
Veh_14,14.95,28.51,32.75,13.57,4.24,17.81
Veh_15,17.67,30.39,33.7,12.72,3.31,16.03
Veh_16,17.68,32.75,35.99,15.07,3.24,18.31
Veh_17,19.4,33.7,36.83,14.29,3.13,17.43
Veh_21,24.06,35.99,38.77,11.93,2.78,14.71
Veh_22,28.33,36.83,41.07,8.5,4.24,12.74
Veh_23,29.53,38.77,41.53,9.24,2.76,12.0
Veh_25,30.75,41.53,45.03,10.78,3.5,14.29
Veh_24,30.08,41.07,45.92,10.99,4.85,15.85
Veh_30,35.63,45.92,48.14,10.29,2.21,12.51
Veh_27,33.09,45.03,48.9,11.94,3.87,15.81
Veh_33,38.96,48.9,52.97,9.94,4.06,14.01
Veh_32,38.41,48.14,53.44,9.72,5.31,15.03
Veh_34,39.08,52.97,55.71,13.89,2.74,16.63
Veh_36,41.37,53.44,58.59,12.08,5.15,17.22
Veh_37,43.26,55.71,61.16,12.45,5.45,17.9
Veh_40,45.43,58.59,63.52,13.16,4.93,18.09
Veh_41,48.68,61.16,65.03,12.48,3.87,16.35
Veh_42,49.09,63.52,68.02,14.43,4.5,18.93
Veh_43,52.82,65.03,68.92,12.21,3.9,16.11
Veh_44,53.3,68.02,71.28,14.72,3.27,17.99
Veh_45,54.05,68.92,72.08,14.87,3.16,18.03
Veh_49,62.23,72.08,76.78,9.85,4.7,14.55
Veh_48,57.93,71.28,77.81,13.35,6.52,19.88
Veh_50,62.74,76.78,80.12,14.04,3.34,17.38
Veh_54,67.13,77.81,81.37,10.68,3.56,14.24
Veh_56,68.85,81.37,84.24,12.52,2.87,15.39
Veh_55,68.14,80.12,85.49,11.98,5.37,17.35
Veh_58,69.88,84.24,86.53,14.36,2.29,16.65
Veh_61,72.49,85.49,90.19,13.0,4.7,17.7
Veh_62,73.97,86.53,91.52,12.56,4.99,17.55
Veh_68,80.61,90.19,93.17,9.58,2.98,12.56
Veh_70,82.22,93.17,96.05,10.94,2.89,13.83
Veh_69,81.84,91.52,96.43,9.68,4.91,14.59
Veh_71,82.23,96.05,99.35,13.83,3.3,17.12
Veh_73,85.42,96.43,101.65,11.0,5.22,16.22
Veh_74,85.86,99.35,103.86,13.49,4.51,18.0
Veh_79,90.45,103.86,107.01,13.41,3.15,16.56
Veh_76,87.04,101.65,109.15,14.61,7.5,22.11
Veh_80,94.14,107.01,110.7,12.87,3.69,16.56
Veh_81,94.89,109.15,113.39,14.26,4.24,18.5
Veh_82,97.0,110.7,114.74,13.7,4.04,17.74
Veh_83,97.31,113.39,119.04,16.08,5.65,21.73
Veh_85,99.79,114.74,119.61,14.95,4.87,19.82
Veh_90,101.84,119.04,121.13,17.2,2.09,19.29
Veh_95,107.86,121.13,125.47,13.27,4.34,17.61
Veh_92,104.26,119.61,125.51,15.35,5.9,21.25
Veh_97,111.12,125.47,127.6,14.35,2.13,16.47
Veh_102,116.06,127.6,130.38,11.53,2.79,14.32
Veh_98,111.79,125.51,131.05,13.72,5.54,19.26
Veh_103,117.12,130.38,134.22,13.26,3.83,17.09
Veh_105,122.15,131.05,135.29,8.9,4.24,13.14
Veh_106,123.09,134.22,136.01,11.13,1.8,12.93
Veh_108,126.07,136.01,139.08,9.94,3.07,13.01
Veh_107,125.5,135.29,139.38,9.8,4.09,13.89
Veh_110,128.65,139.38,140.54,10.73,1.16,11.89
Veh_109,128.57,139.08,144.03,10.51,4.95,15.46
Veh_111,133.4,140.54,146.08,7.14,5.54,12.68
Veh_112,133.87,144.03,146.55,10.17,2.52,12.69
Veh_114,134.98,146.08,149.0,11.1,2.92,14.02
Veh_115,135.84,146.55,150.58,10.71,4.03,14.74
Veh_116,139.51,149.0,152.74,9.49,3.74,13.24
Veh_118,141.09,152.74,155.48,11.65,2.74,14.39
Veh_117,140.66,150.58,156.29,9.92,5.71,15.63
Veh_121,146.4,156.29,159.86,9.89,3.57,13.46
Veh_119,141.77,155.48,162.65,13.71,7.17,20.88
Veh_123,149.94,162.65,163.65,12.71,1.0,13.71
Veh_122,147.86,159.86,164.97,12.0,5.1,17.1
Veh_124,151.01,163.65,169.27,12.64,5.63,18.27
Veh_125,155.31,164.97,170.88,9.65,5.91,15.56
Veh_126,156.65,169.27,173.81,12.62,4.53,17.15
Veh_127,157.66,170.88,174.31,13.22,3.43,16.65
Veh_129,162.26,174.31,176.5,12.05,2.19,14.24
Veh_128,159.21,173.81,179.04,14.59,5.23,19.83
