ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,0.99,0.99,4.43,0.0,3.43,3.43
Veh_2,2.66,2.66,6.15,0.0,3.49,3.49
Veh_3,3.77,4.43,7.75,0.66,3.32,3.98
Veh_4,4.45,6.15,8.41,1.7,2.26,3.97
Veh_5,5.3,7.75,12.34,2.45,4.59,7.04
Veh_6,6.62,8.41,12.97,1.79,4.56,6.35
Veh_8,10.06,12.97,14.7,2.91,1.72,4.64
Veh_7,9.28,12.34,16.1,3.06,3.75,6.81
Veh_10,13.96,16.1,20.51,2.13,4.41,6.54
Veh_9,10.51,14.7,20.94,4.19,6.24,10.44
Veh_12,17.21,20.94,25.11,3.73,4.17,7.9
Veh_11,16.82,20.51,25.82,3.69,5.31,9.0
Veh_13,17.79,25.11,27.54,7.32,2.43,9.75
Veh_14,22.54,25.82,30.56,3.28,4.74,8.02
Veh_15,23.03,27.54,33.1,4.5,5.56,10.06
Veh_17,24.41,33.1,34.28,8.68,1.19,9.87
Veh_16,24.38,30.56,34.59,6.18,4.03,10.2
Veh_18,26.97,34.28,37.68,7.31,3.39,10.71
Veh_19,28.78,34.59,39.87,5.81,5.28,11.09
Veh_20,29.83,37.68,42.24,7.85,4.56,12.41
Veh_22,30.95,42.24,44.74,11.29,2.5,13.79
Veh_21,30.24,39.87,45.53,9.63,5.66,15.29
Veh_23,32.5,44.74,48.86,12.23,4.12,16.35
Veh_24,33.06,45.53,51.14,12.47,5.62,18.08
Veh_26,33.95,51.14,52.97,17.19,1.83,19.02
Veh_27,35.53,52.97,56.24,17.44,3.28,20.71
Veh_25,33.83,48.86,57.07,15.03,8.21,23.24
Veh_28,36.38,56.24,61.74,19.86,5.49,25.36
Veh_29,36.59,57.07,62.35,20.48,5.28,25.76
Veh_30,36.77,61.74,65.7,24.97,3.97,28.94
Veh_32,39.0,65.7,67.09,26.71,1.39,28.1
Veh_31,38.26,62.35,67.26,24.09,4.91,29.0
Veh_34,42.4,67.26,70.23,24.86,2.97,27.82
Veh_33,41.66,67.09,70.62,25.43,3.53,28.96
Veh_37,46.46,70.62,74.19,24.16,3.57,27.73
Veh_36,45.11,70.23,74.4,25.11,4.18,29.29
Veh_41,60.53,74.4,76.17,13.88,1.77,15.64
Veh_42,61.36,76.17,77.17,14.8,1.0,15.8
Veh_40,60.06,74.19,79.28,14.14,5.09,19.22
Veh_44,62.8,79.28,82.89,16.49,3.6,20.09
Veh_43,62.62,77.17,85.75,14.54,8.58,23.13
Veh_45,63.06,82.89,87.81,19.83,4.92,24.75
Veh_46,64.45,85.75,89.34,21.3,3.58,24.89
Veh_49,65.91,87.81,90.39,21.9,2.58,24.49
Veh_51,67.58,89.34,91.05,21.76,1.72,23.47
Veh_52,69.37,90.39,94.35,21.03,3.96,24.98
Veh_57,72.42,94.35,95.52,21.93,1.17,23.1
Veh_56,72.29,91.05,97.0,18.76,5.94,24.7
Veh_59,74.65,95.52,101.35,20.87,5.84,26.71
Veh_60,78.2,97.0,102.38,18.8,5.38,24.18
Veh_62,80.83,102.38,106.02,21.55,3.65,25.19
Veh_61,79.89,101.35,106.08,21.47,4.73,26.19
Veh_63,83.49,106.02,108.18,22.53,2.16,24.69
Veh_64,83.56,106.08,109.54,22.52,3.45,25.98
Veh_67,86.49,108.18,112.48,21.69,4.3,26.0
Veh_70,88.42,109.54,113.18,21.12,3.64,24.76
Veh_71,90.87,112.48,115.08,21.62,2.59,24.21
Veh_72,94.91,113.18,116.05,18.27,2.87,21.14
Veh_73,94.97,115.08,119.72,20.11,4.65,24.75
Veh_74,95.87,116.05,121.83,20.18,5.78,25.96
Veh_75,95.96,119.72,123.98,23.76,4.26,28.02
Veh_76,97.26,121.83,125.31,24.57,3.48,28.05
Veh_82,101.78,123.98,129.24,22.2,5.25,27.46
Veh_83,105.45,125.31,129.54,19.85,4.23,24.09
Veh_85,113.01,129.54,132.85,16.53,3.31,19.84
Veh_84,106.08,129.24,134.65,23.15,5.42,28.57
Veh_86,115.83,132.85,139.17,17.02,6.32,23.34
Veh_87,118.37,134.65,139.63,16.28,4.98,21.27
Veh_89,120.54,139.63,141.83,19.09,2.19,21.28
Veh_88,120.49,139.17,142.46,18.68,3.29,21.98
Veh_91,124.82,142.46,145.27,17.65,2.81,20.46
Veh_90,123.84,141.83,145.87,17.99,4.05,22.04
Veh_93,125.97,145.87,149.18,19.9,3.31,23.21
Veh_92,125.95,145.27,149.71,19.32,4.44,23.76
Veh_94,127.76,149.18,152.61,21.42,3.43,24.85
Veh_96,130.16,152.61,154.34,22.45,1.73,24.18
Veh_95,129.05,149.71,154.58,20.67,4.87,25.53
Veh_97,130.47,154.34,157.63,23.87,3.29,27.16
Veh_102,133.32,154.58,158.7,21.26,4.12,25.37
Veh_107,140.75,158.7,162.34,17.94,3.65,21.59
Veh_103,136.58,157.63,164.11,21.05,6.47,27.52
