ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_2,3.93,3.93,4.93,0.0,1.0,1.0
Veh_1,2.59,2.59,8.31,0.0,5.72,5.72
Veh_3,4.37,4.93,10.23,0.57,5.3,5.86
Veh_4,6.0,8.31,13.49,2.31,5.17,7.49
Veh_5,7.26,10.23,14.18,2.97,3.95,6.92
Veh_6,8.39,13.49,14.62,5.09,1.14,6.23
Veh_8,11.64,14.62,17.98,2.98,3.35,6.34
Veh_7,11.37,14.18,19.8,2.81,5.62,8.43
Veh_10,14.79,19.8,21.98,5.01,2.18,7.19
Veh_11,14.8,21.98,24.16,7.18,2.18,9.36
Veh_9,13.51,17.98,24.54,4.47,6.56,11.03
Veh_13,17.82,24.54,28.67,6.71,4.13,10.85
Veh_12,15.11,24.16,28.87,9.05,4.7,13.75
Veh_14,19.15,28.67,31.23,9.52,2.56,12.08
Veh_15,19.23,28.87,33.96,9.64,5.09,14.73
Veh_16,19.94,31.23,35.89,11.29,4.66,15.95
Veh_17,20.92,33.96,36.59,13.03,2.63,15.66
Veh_19,23.73,35.89,36.89,12.16,1.0,13.16
Veh_21,26.33,36.89,40.8,10.55,3.92,14.47
Veh_20,25.38,36.59,43.17,11.21,6.58,17.8
Veh_24,28.8,40.8,45.66,12.0,4.85,16.86
Veh_26,32.29,45.66,48.49,13.36,2.83,16.19
Veh_25,30.67,43.17,48.99,12.5,5.82,18.32
Veh_27,34.06,48.49,51.03,14.42,2.54,16.96
Veh_32,36.34,48.99,52.37,12.65,3.38,16.03
Veh_34,36.62,51.03,54.73,14.41,3.7,18.11
Veh_35,38.04,52.37,56.98,14.32,4.61,18.93
Veh_40,43.26,56.98,59.75,13.71,2.77,16.49
Veh_37,40.88,54.73,59.85,13.85,5.12,18.97
Veh_49,49.72,59.85,62.22,10.12,2.37,12.49
Veh_48,48.73,59.75,63.24,11.02,3.49,14.51
Veh_50,50.92,62.22,63.99,11.29,1.77,13.06
Veh_51,51.27,63.24,67.61,11.97,4.37,16.34
Veh_52,53.44,63.99,67.67,10.55,3.68,14.23
Veh_55,55.48,67.61,69.02,12.13,1.41,13.54
Veh_57,58.76,67.67,69.94,8.91,2.27,11.18
Veh_60,60.66,69.94,73.02,9.28,3.08,12.36
Veh_59,60.58,69.02,73.06,8.44,4.04,12.48
Veh_62,62.98,73.02,76.38,10.04,3.36,13.4
Veh_63,64.98,73.06,78.57,8.08,5.51,13.6
Veh_64,65.02,76.38,82.7,11.36,6.32,17.68
Veh_67,67.76,78.57,83.85,10.82,5.27,16.09
Veh_68,69.83,82.7,86.0,12.87,3.3,16.18
Veh_69,71.3,83.85,86.48,12.55,2.63,15.18
Veh_71,81.21,86.48,89.5,5.27,3.02,8.29
Veh_70,76.31,86.0,91.6,9.7,5.59,15.29
Veh_72,81.98,89.5,93.1,7.52,3.61,11.13
Veh_73,84.1,91.6,96.57,7.5,4.98,12.47
