ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_2,0.93,0.93,4.91,0.0,3.98,3.98
Veh_1,0.45,0.45,6.75,0.0,6.3,6.3
Veh_3,1.74,4.91,9.99,3.18,5.08,8.25
Veh_4,3.27,6.75,12.79,3.48,6.04,9.52
Veh_5,3.58,9.99,12.98,6.4,2.99,9.4
Veh_7,7.03,12.98,16.3,5.96,3.32,9.28
Veh_6,4.26,12.79,18.73,8.53,5.95,14.47
Veh_8,7.69,16.3,21.6,8.61,5.3,13.91
Veh_9,7.69,18.73,23.93,11.04,5.19,16.23
Veh_11,11.53,23.93,26.71,12.39,2.79,15.18
Veh_10,9.2,21.6,28.5,12.4,6.91,19.3
Veh_12,13.88,26.71,31.8,12.83,5.09,17.92
Veh_13,16.33,28.5,33.78,12.17,5.28,17.44
Veh_14,16.67,31.8,36.95,15.14,5.14,20.28
Veh_16,18.17,36.95,39.45,18.78,2.5,21.28
Veh_15,17.21,33.78,39.66,16.57,5.88,22.45
Veh_18,18.93,39.66,45.11,20.74,5.45,26.19
Veh_17,18.33,39.45,47.13,21.12,7.68,28.8
Veh_19,19.92,45.11,48.71,25.19,3.6,28.79
Veh_20,19.95,47.13,52.27,27.17,5.15,32.32
Veh_21,20.95,48.71,54.23,27.77,5.52,33.29
Veh_22,21.9,52.27,57.79,30.37,5.51,35.88
Veh_23,26.35,54.23,59.91,27.89,5.67,33.56
Veh_24,28.15,57.79,62.56,29.64,4.77,34.41
Veh_25,28.55,59.91,67.32,31.36,7.41,38.77
Veh_26,28.83,62.56,68.48,33.73,5.92,39.66
Veh_28,32.0,68.48,72.84,36.48,4.36,40.84
Veh_27,29.43,67.32,72.87,37.89,5.55,43.44
Veh_30,32.3,72.87,77.16,40.57,4.29,44.86
Veh_29,32.24,72.84,79.73,40.61,6.88,47.49
Veh_31,33.14,77.16,81.6,44.02,4.44,48.46
Veh_32,34.36,79.73,85.01,45.37,5.28,50.65
Veh_33,34.64,81.6,85.42,46.95,3.82,50.78
Veh_34,34.93,85.01,90.01,50.08,4.99,55.07
Veh_35,35.23,85.42,90.2,50.19,4.78,54.97
Veh_37,36.26,90.2,93.04,53.93,2.84,56.77
Veh_36,35.91,90.01,95.64,54.1,5.63,59.73
Veh_38,36.7,93.04,98.89,56.33,5.86,62.19
Veh_39,38.31,95.64,103.07,57.33,7.43,64.76
Veh_40,40.4,98.89,105.8,58.5,6.91,65.4
Veh_41,42.74,103.07,107.92,60.33,4.85,65.18
Veh_42,44.19,105.8,109.24,61.61,3.44,65.05
Veh_43,44.56,107.92,114.09,63.35,6.18,69.53
Veh_44,45.24,109.24,115.35,64.0,6.11,70.11
Veh_45,46.57,114.09,117.65,67.52,3.56,71.08
Veh_46,46.85,115.35,121.53,68.5,6.18,74.68
Veh_47,46.98,117.65,125.04,70.67,7.39,78.06
Veh_48,47.18,121.53,125.12,74.35,3.59,77.94
Veh_50,49.91,125.12,130.69,75.22,5.57,80.78
Veh_49,47.31,125.04,131.98,77.72,6.95,84.67
Veh_51,50.25,130.69,136.38,80.44,5.69,86.13
Veh_52,50.87,131.98,138.33,81.12,6.34,87.46
Veh_53,51.51,136.38,140.49,84.87,4.11,88.98
Veh_54,51.82,138.33,145.2,86.51,6.87,93.38
Veh_55,53.71,140.49,145.57,86.77,5.08,91.85
Veh_56,53.94,145.2,149.58,91.26,4.38,95.64
Veh_57,56.16,145.57,150.47,89.4,4.9,94.3
Veh_58,56.84,149.58,155.91,92.74,6.33,99.07
Veh_59,57.15,150.47,157.76,93.32,7.3,100.62
Veh_60,58.1,155.91,160.33,97.81,4.42,102.23
Veh_61,59.24,157.76,161.38,98.52,3.61,102.13
Veh_62,59.31,160.33,164.48,101.02,4.15,105.17
Veh_63,59.79,161.38,166.9,101.59,5.53,107.12
Veh_65,62.62,166.9,170.48,104.28,3.57,107.85
Veh_64,62.17,164.48,171.12,102.31,6.64,108.95
Veh_67,64.12,171.12,174.79,106.99,3.67,110.67
Veh_66,63.15,170.48,175.12,107.33,4.64,111.97
Veh_68,65.66,174.79,181.13,109.13,6.34,115.47
Veh_69,69.14,175.12,182.34,105.98,7.22,113.2
Veh_70,69.29,181.13,185.2,111.84,4.06,115.91
Veh_71,70.7,182.34,187.52,111.64,5.18,116.82
Veh_72,70.97,185.2,189.15,114.22,3.95,118.18
Veh_73,71.28,187.52,192.29,116.24,4.78,121.02
Veh_74,71.76,189.15,194.9,117.38,5.75,123.14
Veh_75,72.59,192.29,196.83,119.71,4.53,124.24
Veh_76,72.61,194.9,200.03,122.29,5.13,127.42
Veh_77,75.2,196.83,202.41,121.63,5.58,127.21
Veh_78,77.15,200.03,204.82,122.88,4.79,127.67
Veh_80,78.86,204.82,208.92,125.96,4.1,130.06
Veh_79,78.84,202.41,209.16,123.58,6.74,130.32
Veh_81,79.37,208.92,213.56,129.55,4.64,134.19
Veh_82,82.18,209.16,214.45,126.97,5.3,132.27
Veh_84,82.99,214.45,220.57,131.46,6.12,137.58
Veh_83,82.42,213.56,221.87,131.14,8.32,139.45
Veh_85,83.16,220.57,225.14,137.41,4.57,141.98
Veh_86,83.94,221.87,229.22,137.93,7.35,145.28
Veh_87,86.99,225.14,232.36,138.15,7.21,145.37
Veh_88,87.74,229.22,234.08,141.48,4.86,146.34
Veh_90,90.66,234.08,238.54,143.43,4.45,147.88
Veh_89,88.89,232.36,239.43,143.47,7.08,150.54
Veh_91,94.21,238.54,247.24,144.33,8.71,153.04
Veh_92,96.01,239.43,247.35,143.43,7.91,151.34
Veh_93,96.2,247.24,251.74,151.04,4.5,155.54
Veh_94,96.49,247.35,252.48,150.86,5.13,155.99
Veh_95,97.04,251.74,256.66,154.71,4.91,159.62
Veh_96,100.01,252.48,257.73,152.47,5.25,157.72
Veh_98,106.11,257.73,262.51,151.61,4.78,156.39
Veh_97,102.67,256.66,263.02,153.99,6.37,160.36
Veh_100,106.82,263.02,268.72,156.2,5.7,161.9
Veh_99,106.32,262.51,270.15,156.18,7.65,163.83
Veh_102,107.83,270.15,275.23,162.32,5.08,167.41
Veh_101,106.88,268.72,275.92,161.84,7.19,169.04
Veh_103,107.91,275.23,280.09,167.32,4.86,172.18
Veh_104,108.43,275.92,280.59,167.48,4.68,172.16
Veh_105,110.88,280.09,284.1,169.22,4.01,173.23
Veh_106,113.82,280.59,285.88,166.77,5.29,172.06
Veh_107,114.44,284.1,288.16,169.67,4.06,173.72
Veh_108,116.26,285.88,290.86,169.63,4.98,174.6
Veh_109,119.55,288.16,292.43,168.61,4.27,172.88
Veh_110,121.29,290.86,296.46,169.57,5.6,175.17
Veh_111,123.95,292.43,297.53,168.48,5.1,173.58
Veh_113,124.27,297.53,301.28,173.26,3.75,177.01
Veh_112,124.05,296.46,301.89,172.41,5.43,177.84
Veh_114,124.33,301.28,306.65,176.95,5.37,182.32
Veh_115,124.36,301.89,309.08,177.53,7.19,184.72
Veh_116,124.48,306.65,312.89,182.17,6.24,188.41
Veh_117,124.93,309.08,313.92,184.15,4.84,188.99
Veh_119,127.32,313.92,318.11,186.6,4.18,190.78
Veh_118,126.6,312.89,320.97,186.29,8.07,194.37
Veh_120,127.67,318.11,325.54,190.44,7.43,197.87
Veh_121,128.29,320.97,327.63,192.67,6.66,199.34
Veh_122,131.1,325.54,330.88,194.44,5.34,199.79
Veh_124,132.26,330.88,334.27,198.62,3.39,202.01
Veh_123,131.88,327.63,335.08,195.75,7.45,203.2
Veh_126,133.59,335.08,338.78,201.49,3.7,205.19
Veh_125,132.62,334.27,339.6,201.65,5.33,206.98
Veh_128,134.17,339.6,343.71,205.43,4.11,209.54
Veh_127,134.08,338.78,343.78,204.7,5.0,209.7
Veh_130,135.29,343.78,346.5,208.49,2.72,211.21
Veh_129,134.57,343.71,350.07,209.14,6.35,215.49
Veh_131,136.13,346.5,352.78,210.37,6.28,216.65
Veh_132,139.05,350.07,353.34,211.02,3.27,214.29
Veh_134,140.44,353.34,357.53,212.9,4.19,217.1
Veh_133,139.31,352.78,358.29,213.47,5.51,218.98
Veh_135,142.98,357.53,363.15,214.56,5.62,220.17
Veh_136,143.65,358.29,364.51,214.64,6.22,220.86
Veh_137,143.72,363.15,367.67,219.43,4.52,223.95
Veh_138,146.3,364.51,369.46,218.21,4.96,223.16
Veh_139,147.44,367.67,371.28,220.23,3.61,223.84
Veh_140,147.54,369.46,374.64,221.92,5.17,227.09
Veh_141,147.93,371.28,377.78,223.36,6.49,229.85
Veh_142,148.53,374.64,379.57,226.11,4.93,231.04
Veh_143,150.23,377.78,381.43,227.54,3.66,231.2
Veh_144,151.02,379.57,384.3,228.54,4.73,233.28
Veh_145,152.67,381.43,387.1,228.76,5.67,234.43
Veh_146,152.77,384.3,390.99,231.53,6.69,238.22
Veh_147,153.89,387.1,392.19,233.21,5.09,238.3
Veh_149,155.73,392.19,397.56,236.46,5.37,241.83
Veh_148,155.65,390.99,398.54,235.34,7.55,242.88
Veh_151,157.2,398.54,403.26,241.34,4.72,246.06
Veh_150,156.95,397.56,403.45,240.61,5.89,246.5
Veh_152,158.16,403.26,408.19,245.1,4.93,250.02
Veh_153,160.02,403.45,408.47,243.43,5.01,248.44
Veh_155,161.1,408.47,411.85,247.36,3.38,250.74
Veh_154,160.33,408.19,414.3,247.85,6.11,253.97
Veh_156,162.23,411.85,417.75,249.62,5.9,255.52
Veh_157,162.89,414.3,420.3,251.41,6.0,257.41
Veh_158,163.11,417.75,421.81,254.63,4.07,258.7
Veh_159,168.85,420.3,424.37,251.45,4.06,255.52
Veh_160,170.26,421.81,426.42,251.55,4.6,256.16
Veh_162,173.22,426.42,431.78,253.2,5.36,258.56
Veh_161,172.54,424.37,432.4,251.82,8.03,259.86
Veh_164,182.66,432.4,435.35,249.74,2.95,252.7
Veh_163,173.8,431.78,436.79,257.98,5.01,262.99
Veh_165,185.33,435.35,440.99,250.02,5.64,255.66
