ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,0.35,0.35,4.52,0.0,4.18,4.18
Veh_2,0.4,0.4,6.53,0.0,6.13,6.13
Veh_3,0.55,4.52,7.55,3.97,3.03,7.0
Veh_4,1.66,6.53,9.89,4.87,3.36,8.23
Veh_5,1.92,7.55,13.39,5.63,5.84,11.47
Veh_6,3.24,9.89,14.88,6.65,4.99,11.64
Veh_7,6.24,13.39,19.22,7.15,5.84,12.99
Veh_8,6.69,14.88,19.23,8.19,4.34,12.53
Veh_10,7.57,19.23,24.18,11.66,4.96,16.62
Veh_9,7.48,19.22,25.58,11.74,6.35,18.1
Veh_11,8.18,24.18,29.2,16.01,5.02,21.02
Veh_12,9.3,25.58,30.42,16.28,4.85,21.12
Veh_13,10.87,29.2,34.82,18.34,5.62,23.96
Veh_14,11.47,30.42,34.99,18.96,4.57,23.53
Veh_15,11.78,34.82,40.3,23.04,5.48,28.52
Veh_16,12.48,34.99,41.48,22.51,6.49,29.0
Veh_18,14.09,41.48,45.25,27.39,3.77,31.16
Veh_17,13.04,40.3,45.52,27.26,5.21,32.47
Veh_19,23.15,45.25,50.8,22.1,5.55,27.65
Veh_20,23.44,45.52,51.38,22.07,5.86,27.93
Veh_22,25.49,51.38,57.45,25.89,6.07,31.96
Veh_21,23.96,50.8,57.87,26.85,7.07,33.91
Veh_24,30.08,57.87,60.73,27.79,2.87,30.65
Veh_23,27.59,57.45,63.39,29.86,5.94,35.8
Veh_25,31.19,60.73,66.07,29.55,5.34,34.89
Veh_26,32.6,63.39,70.68,30.79,7.3,38.08
Veh_27,33.0,66.07,71.85,33.08,5.77,38.85
Veh_28,33.39,70.68,75.67,37.3,4.99,42.29
Veh_29,33.59,71.85,78.32,38.26,6.48,44.73
Veh_30,34.9,75.67,82.29,40.78,6.62,47.4
Veh_31,37.81,78.32,83.2,40.52,4.87,45.39
Veh_32,39.93,82.29,85.5,42.36,3.2,45.57
Veh_33,39.96,83.2,87.24,43.23,4.04,47.27
Veh_34,40.3,85.5,91.96,45.2,6.46,51.66
Veh_35,40.87,87.24,93.32,46.37,6.09,52.45
Veh_36,41.85,91.96,97.64,50.11,5.68,55.79
Veh_37,42.45,93.32,100.88,50.87,7.56,58.43
Veh_38,43.49,97.64,103.98,54.16,6.34,60.5
Veh_39,44.06,100.88,107.42,56.82,6.55,63.37
Veh_40,45.51,103.98,109.28,58.47,5.29,63.76
Veh_41,45.64,107.42,111.05,61.78,3.62,65.41
Veh_42,45.89,109.28,114.75,63.39,5.47,68.86
Veh_43,46.76,111.05,116.68,64.29,5.64,69.92
Veh_44,49.08,114.75,119.93,65.67,5.18,70.85
Veh_45,49.12,116.68,123.41,67.56,6.73,74.3
Veh_46,49.38,119.93,125.0,70.55,5.07,75.62
Veh_47,51.5,123.41,127.81,71.92,4.4,76.31
Veh_48,52.31,125.0,130.95,72.68,5.96,78.64
Veh_49,53.11,127.81,133.6,74.7,5.79,80.5
Veh_50,53.3,130.95,136.9,77.66,5.95,83.6
Veh_51,54.29,133.6,138.98,79.31,5.38,84.69
Veh_52,55.2,136.9,141.74,81.7,4.84,86.54
Veh_53,57.8,138.98,144.08,81.19,5.1,86.29
Veh_54,58.32,141.74,148.16,83.42,6.42,89.84
Veh_55,58.86,144.08,148.94,85.23,4.86,90.08
Veh_56,59.32,148.16,153.32,88.84,5.16,94.0
Veh_57,59.55,148.94,155.11,89.39,6.17,95.56
Veh_58,60.05,153.32,158.91,93.28,5.59,98.86
Veh_59,61.04,155.11,159.36,94.07,4.25,98.32
Veh_60,62.75,158.91,162.04,96.16,3.13,99.28
Veh_61,63.24,159.36,163.44,96.13,4.08,100.21
Veh_62,63.58,162.04,167.07,98.46,5.03,103.49
Veh_63,64.21,163.44,168.63,99.23,5.19,104.41
Veh_64,64.32,167.07,169.81,102.75,2.74,105.49
Veh_65,65.38,168.63,172.55,103.25,3.93,107.17
Veh_66,65.68,169.81,176.48,104.13,6.67,110.8
Veh_67,65.93,172.55,176.88,106.62,4.33,110.95
Veh_69,72.31,176.88,183.08,104.57,6.2,110.77
Veh_68,70.83,176.48,183.67,105.65,7.19,112.84
Veh_70,74.03,183.08,188.39,109.05,5.32,114.37
Veh_72,76.55,188.39,189.56,111.84,1.17,113.01
Veh_71,75.36,183.67,189.62,108.3,5.95,114.26
Veh_74,80.03,189.62,192.72,109.58,3.1,112.69
Veh_73,80.02,189.56,196.62,109.54,7.06,116.61
Veh_75,81.02,192.72,199.31,111.7,6.59,118.29
Veh_76,81.37,196.62,199.8,115.26,3.18,118.44
Veh_78,81.85,199.8,201.95,117.95,2.15,120.1
Veh_77,81.78,199.31,206.23,117.53,6.92,124.45
Veh_79,82.39,201.95,207.44,119.56,5.49,125.05
Veh_80,83.06,206.23,211.92,123.16,5.69,128.86
Veh_81,83.38,207.44,213.73,124.06,6.29,130.35
Veh_82,84.21,211.92,218.01,127.71,6.09,133.8
Veh_83,84.5,213.73,218.79,129.23,5.06,134.29
Veh_84,86.03,218.01,221.58,131.97,3.58,135.55
Veh_85,86.07,218.79,225.26,132.72,6.47,139.19
Veh_87,88.38,225.26,228.06,136.88,2.79,139.68
Veh_86,87.25,221.58,229.25,134.33,7.67,142.0
Veh_89,91.35,229.25,234.42,137.91,5.17,143.08
Veh_88,89.79,228.06,235.31,138.27,7.26,145.53
Veh_90,92.52,234.42,240.46,141.9,6.04,147.94
Veh_91,92.54,235.31,240.95,142.77,5.63,148.4
Veh_92,92.55,240.46,244.69,147.91,4.23,152.14
Veh_93,95.97,240.95,246.25,144.98,5.31,150.28
Veh_94,96.08,244.69,249.37,148.61,4.68,153.29
Veh_95,96.69,246.25,249.42,149.56,3.17,152.73
Veh_96,97.69,249.37,251.44,151.68,2.07,153.75
Veh_97,98.27,249.42,255.31,151.15,5.89,157.04
Veh_98,99.4,251.44,258.13,152.04,6.69,158.73
Veh_99,100.83,255.31,260.5,154.48,5.18,159.66
Veh_101,103.85,260.5,262.82,156.65,2.32,158.97
Veh_100,102.4,258.13,263.3,155.73,5.17,160.9
Veh_103,105.16,263.3,266.56,158.13,3.26,161.4
Veh_102,104.66,262.82,270.1,158.15,7.28,165.43
Veh_104,108.75,266.56,270.54,157.81,3.98,161.79
Veh_105,110.93,270.1,273.94,159.16,3.85,163.01
Veh_106,114.34,270.54,276.56,156.2,6.02,162.22
Veh_107,114.62,273.94,279.3,159.32,5.36,164.68
Veh_108,116.21,276.56,279.33,160.35,2.77,163.12
Veh_109,116.54,279.3,283.52,162.76,4.22,166.98
Veh_110,116.84,279.33,285.07,162.49,5.73,168.23
Veh_111,117.27,283.52,285.77,166.25,2.24,168.5
Veh_112,117.3,285.07,290.25,167.77,5.18,172.95
Veh_113,120.3,285.77,291.1,165.47,5.33,170.8
Veh_114,121.41,290.25,295.63,168.84,5.38,174.23
Veh_115,123.52,291.1,296.96,167.58,5.86,173.44
Veh_116,124.84,295.63,301.07,170.8,5.43,176.23
Veh_117,124.98,296.96,301.4,171.97,4.44,176.42
Veh_118,125.87,301.07,306.51,175.19,5.45,180.64
Veh_119,127.59,301.4,307.92,173.81,6.52,180.34
Veh_121,133.17,307.92,312.79,174.75,4.87,179.62
Veh_120,129.82,306.51,312.81,176.69,6.3,182.99
Veh_122,133.2,312.79,318.09,179.59,5.29,184.88
Veh_123,136.09,312.81,320.01,176.72,7.19,183.91
Veh_124,138.37,318.09,321.75,179.71,3.66,183.38
Veh_125,139.32,320.01,326.31,180.69,6.3,186.99
Veh_126,139.8,321.75,326.94,181.95,5.19,187.14
Veh_128,141.04,326.94,331.93,185.89,4.99,190.88
Veh_127,140.27,326.31,332.66,186.04,6.35,192.39
Veh_129,141.91,331.93,335.04,190.02,3.11,193.13
Veh_130,142.85,332.66,336.44,189.81,3.78,193.59
Veh_131,144.65,335.04,339.36,190.39,4.32,194.72
Veh_132,145.77,336.44,341.12,190.67,4.68,195.35
Veh_133,146.13,339.36,344.53,193.23,5.17,198.4
Veh_134,146.75,341.12,346.24,194.37,5.11,199.49
Veh_135,146.99,344.53,349.56,197.54,5.03,202.57
Veh_136,151.72,346.24,349.8,194.52,3.56,198.09
Veh_137,153.3,349.56,352.76,196.25,3.2,199.45
Veh_138,153.64,349.8,353.45,196.16,3.65,199.8
Veh_139,154.47,352.76,356.81,198.29,4.05,202.34
Veh_140,154.72,353.45,359.73,198.73,6.29,205.02
Veh_141,157.07,356.81,363.52,199.73,6.71,206.45
Veh_142,157.97,359.73,366.84,201.77,7.11,208.87
Veh_143,158.55,363.52,368.29,204.97,4.76,209.73
Veh_144,158.61,366.84,371.87,208.23,5.03,213.26
Veh_145,158.71,368.29,371.88,209.57,3.59,213.16
Veh_146,161.31,371.87,375.6,210.56,3.73,214.3
Veh_147,162.14,371.88,376.36,209.74,4.49,214.22
Veh_148,163.56,375.6,379.94,212.04,4.34,216.38
Veh_149,164.32,376.36,380.4,212.04,4.03,216.07
Veh_150,164.79,379.94,384.86,215.15,4.92,220.07
Veh_151,167.94,380.4,388.48,212.46,8.08,220.53
Veh_152,168.59,384.86,389.24,216.27,4.39,220.65
Veh_153,169.11,388.48,392.31,219.37,3.84,223.2
