ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_2,0.3,0.3,3.35,0.0,3.05,3.05
Veh_1,0.29,0.29,7.44,0.0,7.14,7.14
Veh_4,1.97,7.44,9.16,5.47,1.72,7.19
Veh_3,0.79,3.35,10.03,2.56,6.68,9.24
Veh_5,2.39,9.16,14.13,6.77,4.97,11.74
Veh_6,4.88,10.03,16.53,5.15,6.5,11.65
Veh_7,6.06,14.13,19.19,8.07,5.05,13.12
Veh_8,7.19,16.53,20.92,9.34,4.39,13.73
Veh_9,9.58,19.19,23.96,9.6,4.77,14.38
Veh_10,10.55,20.92,24.5,10.37,3.58,13.95
Veh_12,10.74,24.5,28.2,13.76,3.71,17.47
Veh_11,10.56,23.96,29.26,13.4,5.3,18.7
Veh_13,12.86,28.2,30.7,15.34,2.5,17.84
Veh_14,14.45,29.26,35.22,14.81,5.96,20.77
Veh_18,18.41,30.7,35.73,12.29,5.03,17.32
Veh_19,21.04,35.22,38.27,14.18,3.05,17.24
Veh_20,21.61,35.73,42.07,14.12,6.34,20.45
Veh_23,24.56,38.27,43.89,13.71,5.61,19.32
Veh_24,24.83,42.07,44.09,17.23,2.02,19.26
Veh_27,31.14,44.09,48.05,12.95,3.96,16.91
Veh_26,28.21,43.89,49.84,15.68,5.95,21.63
Veh_28,31.29,48.05,51.36,16.76,3.31,20.06
Veh_32,38.13,49.84,51.41,11.71,1.57,13.28
Veh_34,40.64,51.41,54.19,10.77,2.79,13.56
Veh_33,39.86,51.36,55.37,11.49,4.01,15.5
Veh_38,42.53,54.19,57.54,11.67,3.34,15.01
Veh_39,44.68,55.37,59.88,10.68,4.51,15.2
Veh_40,45.02,57.54,60.28,12.52,2.74,15.26
Veh_44,48.09,59.88,62.19,11.79,2.31,14.1
Veh_46,51.38,60.28,62.37,8.9,2.09,10.99
Veh_48,54.91,62.37,66.87,7.46,4.49,11.95
Veh_47,52.7,62.19,66.94,9.49,4.75,14.24
Veh_49,54.95,66.87,72.15,11.92,5.28,17.2
Veh_50,56.39,66.94,75.01,10.56,8.06,18.62
Veh_54,58.29,72.15,78.22,13.86,6.08,19.94
Veh_56,60.09,75.01,80.69,14.91,5.68,20.6
Veh_57,61.69,78.22,82.88,16.53,4.66,21.19
Veh_58,63.24,80.69,84.18,17.45,3.49,20.94
Veh_61,67.37,84.18,88.29,16.82,4.11,20.92
Veh_59,65.39,82.88,88.52,17.5,5.63,23.13
Veh_62,68.68,88.29,91.94,19.61,3.66,23.27
Veh_63,72.67,88.52,94.1,15.85,5.58,21.43
Veh_66,75.45,91.94,95.19,16.5,3.25,19.74
Veh_69,78.39,94.1,97.81,15.7,3.72,19.42
Veh_73,81.39,95.19,99.59,13.8,4.4,18.2
Veh_77,84.45,97.81,101.72,13.37,3.9,17.27
Veh_78,87.77,99.59,103.52,11.82,3.93,15.75
Veh_79,88.7,101.72,105.55,13.01,3.83,16.85
Veh_80,90.43,103.52,108.35,13.09,4.83,17.92
Veh_83,92.31,105.55,111.55,13.25,6.0,19.24
Veh_85,96.48,111.55,113.71,15.07,2.16,17.23
