ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,0.36,0.36,3.13,0.0,2.76,2.76
Veh_3,0.7,3.13,4.99,2.43,1.86,4.29
Veh_2,0.56,0.56,6.25,0.0,5.69,5.69
Veh_4,1.01,4.99,7.84,3.98,2.85,6.83
Veh_5,2.7,6.25,12.0,3.55,5.74,9.3
Veh_7,3.44,12.0,14.14,8.55,2.15,10.7
Veh_6,2.91,7.84,15.6,4.92,7.77,12.69
Veh_8,4.13,14.14,18.75,10.01,4.61,14.62
Veh_9,4.72,15.6,21.6,10.88,6.0,16.88
Veh_10,4.74,18.75,24.2,14.01,5.45,19.46
Veh_12,5.66,21.6,25.77,15.93,4.17,20.11
Veh_14,7.09,24.2,27.91,17.11,3.71,20.82
Veh_16,7.98,25.77,28.86,17.79,3.09,20.88
Veh_26,12.59,27.91,30.89,15.32,2.98,18.3
Veh_31,14.6,28.86,32.13,14.26,3.27,17.53
Veh_40,20.09,32.13,36.25,12.04,4.12,16.16
Veh_36,16.28,30.89,36.44,14.61,5.55,20.17
Veh_54,25.05,36.44,40.56,11.4,4.12,15.51
Veh_46,22.4,36.25,41.82,13.86,5.57,19.43
Veh_57,28.3,41.82,44.08,13.53,2.26,15.79
Veh_55,26.14,40.56,44.38,14.42,3.82,18.25
Veh_63,31.04,44.38,47.09,13.34,2.71,16.05
Veh_60,29.46,44.08,47.95,14.62,3.87,18.49
Veh_70,37.07,47.95,50.5,10.88,2.55,13.43
Veh_64,32.51,47.09,53.3,14.59,6.21,20.8
Veh_71,37.23,50.5,56.5,13.27,6.01,19.27
Veh_84,40.63,53.3,57.87,12.68,4.56,17.24
Veh_91,44.24,57.87,59.86,13.63,1.99,15.62
Veh_87,42.33,56.5,62.16,14.18,5.66,19.83
Veh_92,44.89,59.86,65.85,14.97,6.0,20.97
Veh_94,47.14,62.16,69.21,15.02,7.05,22.07
Veh_96,48.14,65.85,72.09,17.72,6.24,23.95
Veh_102,50.94,69.21,74.44,18.27,5.23,23.5
Veh_108,54.55,72.09,75.41,17.54,3.32,20.86
Veh_111,57.11,74.44,76.57,17.33,2.13,19.46
Veh_113,58.44,75.41,78.84,16.98,3.43,20.41
Veh_116,61.44,76.57,80.29,15.13,3.71,18.85
Veh_124,65.88,80.29,82.76,14.41,2.47,16.88
Veh_120,62.94,78.84,84.49,15.91,5.64,21.55
Veh_130,69.39,82.76,87.97,13.36,5.21,18.57
Veh_135,72.16,84.49,90.36,12.33,5.87,18.2
Veh_142,75.52,87.97,90.88,12.45,2.91,15.36
Veh_143,76.47,90.36,94.06,13.89,3.7,17.59
Veh_144,76.6,90.88,94.28,14.27,3.4,17.68
Veh_148,80.89,94.28,97.54,13.39,3.26,16.65
Veh_147,78.85,94.06,100.26,15.21,6.2,21.4
Veh_151,82.99,97.54,101.8,14.55,4.26,18.81
Veh_158,88.16,101.8,104.35,13.64,2.55,16.19
Veh_153,84.7,100.26,105.49,15.56,5.23,20.78
Veh_162,90.72,104.35,107.57,13.63,3.22,16.85
Veh_163,91.3,105.49,111.33,14.19,5.84,20.03
Veh_169,94.45,107.57,112.52,13.12,4.95,18.07
Veh_173,98.68,112.52,115.06,13.84,2.54,16.38
Veh_170,96.63,111.33,115.14,14.7,3.81,18.51
Veh_176,100.75,115.06,119.75,14.31,4.68,18.99
Veh_178,102.99,115.14,120.14,12.15,5.0,17.15
Veh_182,105.14,119.75,121.82,14.61,2.07,16.68
Veh_185,105.71,120.14,123.02,14.43,2.88,17.3
Veh_187,109.69,121.82,127.1,12.13,5.28,17.41
Veh_190,112.1,123.02,127.45,10.92,4.43,15.35
Veh_197,115.85,127.45,128.81,11.6,1.36,12.96
Veh_191,112.82,127.1,130.12,14.29,3.01,17.3
Veh_205,120.65,130.12,134.19,9.46,4.08,13.54
Veh_198,116.42,128.81,134.93,12.4,6.12,18.51
Veh_207,123.45,134.93,138.93,11.48,4.0,15.48
Veh_206,123.13,134.19,139.11,11.06,4.92,15.98
Veh_218,127.49,139.11,140.11,11.62,1.0,12.62
Veh_208,123.87,138.93,143.58,15.06,4.65,19.71
Veh_219,128.89,140.11,146.55,11.22,6.43,17.65
Veh_220,129.32,143.58,147.74,14.26,4.16,18.42
Veh_228,134.55,147.74,151.23,13.19,3.49,16.68
Veh_222,130.54,146.55,151.69,16.0,5.14,21.15
Veh_229,135.02,151.23,152.47,16.21,1.24,17.45
Veh_240,138.93,151.69,154.2,12.76,2.51,15.27
Veh_242,139.45,152.47,156.0,13.02,3.53,16.54
Veh_246,140.22,154.2,157.9,13.98,3.7,17.68
Veh_249,144.54,156.0,158.28,11.46,2.29,13.75
Veh_254,149.81,158.28,160.76,8.47,2.48,10.95
Veh_253,149.4,157.9,162.56,8.5,4.66,13.16
Veh_260,151.45,160.76,164.48,9.31,3.72,13.04
Veh_261,152.9,162.56,165.06,9.66,2.5,12.16
Veh_263,154.44,165.06,168.82,10.62,3.77,14.38
Veh_262,152.93,164.48,169.36,11.55,4.87,16.42
Veh_267,158.12,169.36,172.48,11.23,3.13,14.36
Veh_266,157.93,168.82,173.39,10.89,4.56,15.45
Veh_268,158.3,172.48,175.42,14.18,2.93,17.12
Veh_272,161.7,173.39,177.09,11.68,3.7,15.39
Veh_276,162.86,175.42,178.7,12.56,3.28,15.84
Veh_286,164.57,177.09,180.92,12.53,3.83,16.36
Veh_288,165.97,178.7,182.55,12.73,3.85,16.58
Veh_294,170.46,182.55,184.72,12.08,2.17,14.26
Veh_293,169.57,180.92,186.77,11.36,5.84,17.2
Veh_299,172.99,184.72,187.34,11.73,2.62,14.35
Veh_302,176.38,187.34,190.42,10.96,3.08,14.03
Veh_300,173.39,186.77,190.91,13.38,4.15,17.52
Veh_305,177.19,190.42,194.51,13.22,4.1,17.32
Veh_306,179.09,190.91,194.87,11.83,3.96,15.79
Veh_310,181.23,194.51,197.05,13.28,2.54,15.82
Veh_313,184.4,194.87,199.57,10.47,4.7,15.17
Veh_315,185.23,197.05,201.52,11.82,4.47,16.29
Veh_320,187.13,199.57,203.81,12.44,4.24,16.68
Veh_321,187.58,201.52,206.04,13.94,4.51,18.46
Veh_330,190.59,203.81,207.93,13.22,4.12,17.34
Veh_335,194.98,207.93,212.8,12.95,4.87,17.82
Veh_331,191.44,206.04,213.05,14.59,7.01,21.6
Veh_336,195.91,212.8,215.92,16.89,3.12,20.01
Veh_338,197.09,213.05,219.54,15.96,6.49,22.45
Veh_344,200.03,215.92,219.93,15.89,4.01,19.9
Veh_353,204.18,219.93,222.99,15.75,3.06,18.81
Veh_351,201.83,219.54,223.42,17.71,3.88,21.59
Veh_360,206.31,222.99,228.33,16.68,5.34,22.02
Veh_365,208.73,223.42,228.74,14.7,5.32,20.02
Veh_373,213.29,228.74,231.55,15.46,2.81,18.27
Veh_372,212.89,228.33,231.98,15.45,3.65,19.1
Veh_377,216.34,231.55,234.27,15.21,2.72,17.93
Veh_383,219.55,231.98,236.89,12.43,4.91,17.34
Veh_384,221.12,234.27,237.93,13.15,3.65,16.81
Veh_392,224.5,236.89,241.7,12.39,4.81,17.2
